,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.67,0.85,1.37,1.44,1.18,1.22,0.58,0.6,0.5,0.6,0.59,0.58,0.4,0.46,0.44,0.6
f_1,1.43,0.66,1.13,1.25,1.18,1.16,0.46,0.46,0.44,0.64,0.39,0.57,0.3,0.39,0.37,0.37
d_1,1.39,1.39,0.66,1.3,1.34,1.0,0.56,0.73,0.5,0.4,0.46,0.41,0.38,0.4,0.28,0.37
c_1,1.12,1.46,1.69,0.64,1.3,1.31,0.64,0.32,0.61,0.55,0.45,0.48,0.39,0.51,0.41,0.51
b_1,1.55,1.66,1.51,0.98,0.61,1.45,0.76,0.57,0.6,0.71,0.78,0.52,0.42,0.55,0.39,0.43
a_1,1.64,1.94,1.85,1.49,1.13,0.55,0.96,0.61,0.74,0.99,0.89,0.61,0.57,1.02,0.5,0.51
h_1,1.96,2.16,1.97,1.97,1.9,1.51,0.57,0.73,0.7,0.97,0.68,0.64,0.73,0.68,0.59,0.55
d_0,1.43,2.05,2.55,2.63,2.2,2.07,1.17,0.63,0.76,1.07,0.83,0.88,0.75,0.68,0.66,0.8
c_0,2.16,2.16,1.45,3.98,2.24,1.74,0.99,0.89,0.61,0.88,0.87,0.78,0.63,0.77,0.7,0.83
g_1,2.12,2.09,2.21,2.6,2.2,1.94,0.79,0.76,0.77,0.55,0.78,0.75,0.55,0.7,0.8,0.72
b_0,2.14,2.46,1.93,2.84,3.38,1.87,1.01,0.85,0.5,1.0,0.58,0.77,0.7,0.75,0.66,0.69
f_0,2.15,3.11,2.24,2.51,2.28,2.27,1.2,0.86,0.86,0.84,0.84,0.57,0.79,0.83,0.51,1.01
h_0,2.59,3.11,2.48,2.61,2.26,1.86,1.48,0.91,0.84,1.12,0.86,0.84,0.9,0.86,0.74,0.81
a_0,2.65,2.64,2.68,2.58,2.97,3.71,1.24,0.99,0.86,1.05,0.64,0.94,0.84,0.56,1.06,1.05
g_0,2.54,2.74,2.77,2.58,2.93,2.44,1.02,1.09,0.94,1.16,0.98,0.96,0.68,0.84,1.03,0.86
e_0,3.58,4.01,2.43,2.58,2.54,2.97,1.21,1.1,0.92,1.15,0.95,0.53,0.9,0.79,0.7,0.57
