,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.67,2.19,1.85,2.01,2.1,2.05,0.72,1.14,0.64,0.65,0.71,1.12,0.73,0.47,0.49,0.61
e_1,1.39,0.66,2.16,2.32,2.15,1.98,0.96,1.01,0.73,0.95,0.86,0.83,0.68,0.62,1.66,0.66
d_1,2.46,2.15,0.66,2.6,1.81,1.67,0.95,0.66,0.88,1.67,0.68,0.62,0.65,0.51,0.72,0.43
c_1,2.14,2.01,1.83,0.64,2.94,1.79,1.0,1.03,1.79,0.5,0.84,0.81,0.7,0.7,0.68,0.72
b_1,2.38,2.4,2.69,1.22,0.63,2.34,1.19,1.13,0.99,0.91,1.36,0.77,0.88,0.63,0.78,0.59
a_1,2.8,3.0,2.68,2.8,1.68,0.57,1.21,0.98,0.92,0.99,1.4,0.92,,0.93,1.02,0.83
h_1,2.92,2.74,2.86,2.55,2.06,2.33,0.6,1.21,0.95,1.0,0.91,1.02,0.9,1.7,0.93,0.81
g_1,2.91,2.42,3.27,3.08,2.72,3.23,1.16,0.57,1.22,1.02,0.93,1.28,0.82,0.72,1.1,1.48
c_0,3.49,2.92,1.89,4.86,2.69,2.82,1.5,1.07,0.66,1.19,1.28,1.11,0.96,0.93,0.91,0.83
d_0,2.91,1.8,4.99,3.97,2.81,2.92,1.39,1.5,1.01,0.66,0.9,1.01,1.17,0.92,1.21,0.87
b_0,3.04,2.87,3.1,3.29,4.04,3.22,1.45,1.42,0.61,1.21,0.63,0.95,1.29,1.11,1.34,0.98
f_0,5.42,2.9,3.53,3.09,2.49,3.07,1.42,1.03,1.12,1.09,1.09,0.62,0.96,0.88,1.21,0.58
a_0,3.49,3.17,3.5,3.63,3.34,,1.44,1.63,1.28,1.18,0.83,1.24,0.61,1.24,1.71,0.81
h_0,3.77,3.5,3.6,3.22,3.47,2.99,1.77,1.57,1.25,1.18,0.97,1.27,0.98,1.56,0.99,1.12
e_0,5.31,6.36,3.24,3.54,3.08,2.62,1.43,1.23,1.44,1.37,1.3,0.81,1.22,1.07,0.58,1.02
g_0,4.2,3.94,3.97,3.23,4.05,2.7,1.28,2.28,1.43,1.41,1.16,1.47,1.45,0.96,1.2,1.78
