,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.45,18.28,43.81,43.9,34.46,28.0,9.64,6.88,6.69,7.06,5.86,6.63,4.37,,6.11,7.63
f_1,34.09,0.45,31.92,25.51,31.2,31.1,6.05,15.31,7.24,5.89,,8.38,3.33,6.23,5.83,6.22
d_1,50.91,32.46,0.43,37.92,44.93,31.05,9.22,5.43,6.24,,8.87,8.37,4.94,6.25,2.69,5.05
c_1,37.98,33.81,37.98,0.42,50.31,39.51,10.83,11.51,,3.79,6.24,6.52,4.38,6.04,5.2,7.06
b_1,43.54,41.69,39.8,22.66,0.38,36.23,8.43,13.85,9.38,7.19,7.55,,5.56,10.62,4.58,
a_1,83.1,56.39,44.89,57.74,25.06,0.34,13.69,10.34,7.64,7.64,9.29,9.67,4.58,,7.54,
h_1,16.35,16.61,18.46,16.31,14.96,16.86,0.37,5.43,4.5,3.37,3.54,3.37,,3.26,2.48,4.68
g_1,19.77,23.38,22.42,30.83,29.38,21.64,3.33,0.33,3.74,4.71,5.27,3.22,2.35,3.56,,4.18
c_0,18.89,14.28,8.13,,16.1,14.23,4.06,4.07,0.5,4.11,3.34,3.54,2.11,3.51,1.79,3.4
d_0,8.76,14.99,,13.26,14.99,17.97,5.11,4.58,3.45,0.52,2.53,2.87,2.24,3.01,2.11,3.21
f_0,16.64,,19.89,17.28,15.65,18.79,4.78,3.67,2.86,2.86,0.45,4.1,2.69,2.27,1.78,3.38
b_0,15.58,17.94,14.65,18.44,,24.36,4.74,4.63,1.8,3.67,3.62,0.44,2.46,4.88,3.91,2.98
h_0,9.52,10.23,11.32,9.21,12.28,13.98,,4.09,2.74,2.58,3.65,3.14,,2.25,1.67,2.96
e_0,,28.81,21.24,22.08,18.57,,6.24,5.28,4.33,4.57,2.25,3.54,2.63,0.38,1.97,
g_0,14.5,20.26,11.74,14.78,14.05,15.86,4.27,,2.65,2.65,2.4,2.97,1.44,3.13,,2.38
a_0,23.38,33.9,36.93,23.75,,,5.07,5.39,4.14,3.74,3.82,2.33,3.3,,3.62,0.36
