,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.57,0.99,1.08,0.91,0.83,0.44,0.5,0.41,0.48,0.39,0.43,0.35,0.39,0.73,0.39
f_1,1.04,0.41,0.79,0.85,0.83,0.89,0.39,0.58,0.33,0.35,0.42,0.46,0.25,0.39,0.28,0.38
d_1,0.87,1.04,0.39,0.92,0.88,0.81,0.48,0.32,0.39,0.67,0.36,0.37,0.31,0.42,0.36,0.25
c_1,0.72,0.91,0.97,0.38,1.07,0.83,0.46,0.54,0.48,0.25,0.39,0.36,0.34,0.38,0.37,0.34
b_1,0.81,0.88,1.04,0.54,0.36,1.25,0.55,0.53,0.52,0.45,0.56,0.43,0.48,0.41,0.42,0.33
a_1,0.93,0.95,0.8,0.95,0.53,0.31,0.55,0.49,0.45,0.44,0.56,0.47,0.47,0.81,0.48,0.38
h_1,0.84,0.86,0.75,0.82,0.8,0.62,0.24,0.49,0.37,0.33,0.35,0.39,0.39,0.31,0.29,0.37
g_1,0.73,0.88,0.81,0.77,0.87,0.77,0.35,0.23,0.38,0.37,0.36,0.46,0.24,0.36,0.36,0.3
c_0,0.83,0.86,0.48,1.51,0.81,0.75,0.4,0.41,0.25,0.5,0.42,0.38,0.36,0.37,0.44,0.3
d_0,0.52,0.86,1.03,0.91,0.77,0.79,0.48,0.42,0.35,0.26,0.37,0.35,0.31,0.32,0.35,0.32
b_0,0.77,0.82,0.71,0.9,1.15,0.6,0.47,0.39,0.24,0.37,0.24,0.34,0.26,0.4,0.35,0.26
f_0,0.71,1.38,0.74,0.89,0.8,0.73,0.37,0.25,0.33,0.34,0.34,0.23,0.35,0.38,0.53,0.23
h_0,0.72,0.92,0.8,0.75,0.74,0.58,0.53,0.46,0.32,0.32,0.39,0.3,0.36,0.35,0.34,0.28
a_0,0.71,0.91,0.63,1.06,0.88,0.97,0.42,0.47,0.33,0.47,0.21,0.36,0.25,0.21,0.47,0.3
e_0,1.07,1.09,0.77,0.68,0.67,0.74,0.47,0.4,0.33,0.34,0.4,0.22,0.3,0.33,0.2,0.29
g_0,0.68,0.8,0.77,0.86,0.82,0.89,0.28,0.6,0.32,0.39,0.38,0.37,0.25,0.32,0.36,0.36
