,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,13015.91,2296.34,3643.21,4197.34,6548.85,21142.84,3096298.83,17837605.84,9579600.59,8975770.2,14829908.33,28554498.19,96023569.69,230645350.73,60106086.47,199538377.43
d_1,2249.97,14703.96,3055.25,2563.89,6303.95,28412.26,3197506.22,3543681.97,19854746.63,9129801.82,20911421.89,29994768.64,99049164.95,170009741.41,188708154.65,211836238.86
f_1,4843.08,2692.79,15345.2,3685.73,4714.64,35620.49,2823138.84,7420151.36,8456614.1,7201773.43,14202448.44,6641009.81,101128454.27,147081893.13,101308866.6,174830964.71
c_1,2571.81,2510.3,3202.46,16377.05,13428.5,22718.29,3804630.96,7685805.65,3410742.21,8168314.49,12004404.28,26230399.82,80402974.72,156182131.45,125820883.53,159569404.95
b_1,2785.62,3229.83,3602.15,2661.57,37699.45,57762.79,2831181.84,7897188.14,8073969.41,8544437.39,6340360.77,23018339.15,85610103.88,157307520.5,88165900.65,128457852.9
a_1,3128.57,3160.45,3500.01,3418.43,4113.41,247545.35,3750669.73,9403757.4,10357074.32,8980724.55,18330182.99,29276753.71,80218517.7,173718487.03,111948335.75,83055386.45
h_1,3443.66,3691.94,4794.83,4214.65,7368.59,31648.76,11066675.51,10280085.11,10259336.54,12718657.28,19707719.06,30219033.24,63971313.83,256617613.44,159219789.16,256251383.74
d_0,3087.65,1491.8,4605.25,8184.71,7953.03,34058.54,4168242.51,22504092.46,7940638.08,9645358.54,20930774.17,26100994.98,110883610.63,184924888.89,127991173.51,274655267.34
c_0,3602.29,4661.29,4080.06,2797.15,7325.79,37863.82,3709663.58,11120210.94,24852141.7,9097880.54,41628176.14,37623401.76,108741728.11,219631122.35,185257742.62,269860023.07
g_1,2336.5,6320.66,3142.34,4430.5,7276.41,25542.96,4061752.62,9808521.57,11552458.97,36532901.61,20754630.52,50440427.67,80534732.49,148742836.87,170781530.77,211293473.06
b_0,3146.72,4270.68,4339.26,4388.29,4482.38,24828.22,5321596.85,10130667.67,12060015.87,10213019.61,49441519.84,36685117.75,125281651.14,240739211.37,144547119.38,515991793.88
f_0,3338.07,4776.89,1736.62,4089.81,9181.12,33744.48,4723555.39,11755961.48,13210270.58,9914781.97,23861100.14,73384234.46,119762558.97,296428081.19,297475377.81,238948803.93
h_0,3844.89,4199.22,5568.26,4139.6,6911.58,32415.25,2333274.38,11181365.38,11992980.43,14461277.05,20043154.03,31246564.5,63473094.87,292223076.7,133514706.84,198330942.9
g_0,2630.97,6481.5,2949.64,4677.48,7322.46,37439.64,4676833.17,9677278.07,11757256.21,7883685.62,17350185.01,50104683.92,108439894.7,111369542.77,139533401.36,217529998.24
e_0,1587.33,4209.16,3970.59,4856.77,7956.82,43921.57,4758069.99,9730891.8,14218824.45,11061436.11,26470260.3,40009451.45,162793112.56,290465110.3,521652147.22,240608665.64
a_0,2965.15,4133.91,3433.13,4891.88,9168.37,23879.05,4511934.19,12267686.19,12681355.1,11827185.13,22895108.08,34910820.26,133594711.61,228315948.94,164297670.46,683794410.88
