,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.22,1.46,1.49,1.74,2.96,17.05,23.81,30.92,35.47,46.79,46.94,81.03,86.15,110.39,136.89
e_1,0.82,1.0,1.34,1.38,1.85,3.39,20.04,42.99,43.26,38.97,55.7,67.86,105.88,142.01,134.88,157.83
c_1,0.68,0.75,1.0,1.48,2.02,2.63,14.74,14.48,27.05,20.47,33.04,37.39,65.33,63.55,68.57,111.7
d_1,0.67,0.72,0.68,1.0,1.04,1.75,13.21,16.83,16.49,31.61,34.79,32.78,65.69,76.45,71.51,78.6
b_1,0.56,0.54,0.49,0.97,1.0,3.17,9.56,16.46,16.25,24.78,24.2,33.91,55.95,58.64,51.99,73.47
a_1,0.34,0.29,0.38,0.57,0.32,1.0,6.11,9.72,10.03,10.98,17.53,16.27,29.99,33.84,32.83,46.61
h_1,0.06,0.05,0.07,0.07,0.11,0.16,1.0,1.28,2.03,2.05,2.45,2.7,5.03,5.83,4.93,7.93
d_0,0.04,0.02,0.07,0.06,0.07,0.1,0.77,1.0,1.37,1.27,1.8,1.75,3.67,4.58,4.05,5.91
g_1,0.03,0.02,0.04,0.06,0.06,0.11,0.49,0.74,1.0,1.19,1.53,1.81,2.42,3.51,2.88,4.66
c_0,0.03,0.03,0.05,0.03,0.04,0.09,0.47,0.81,0.84,1.0,2.12,1.7,2.38,2.66,3.1,3.59
b_0,0.02,0.02,0.03,0.03,0.05,0.05,0.43,0.53,0.66,0.49,1.0,1.12,1.76,2.07,2.91,2.99
f_0,0.02,0.01,0.03,0.03,0.03,0.06,0.36,0.55,0.55,0.59,0.86,1.0,1.81,2.47,1.79,2.15
h_0,0.01,0.01,0.01,0.02,0.02,0.03,0.21,0.27,0.42,0.42,0.55,0.54,1.0,1.15,1.01,2.04
e_0,0.01,0.01,0.02,0.01,0.02,0.03,0.18,0.22,0.29,0.38,0.48,0.43,0.86,1.0,0.83,1.33
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.2,0.25,0.34,0.33,0.34,0.56,0.99,1.22,1.0,1.61
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.12,0.17,0.23,0.26,0.32,0.46,0.48,0.7,0.62,1.0
