,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,11442.38,1259.89,1337.84,1563.81,3438.53,13476.91,1508410.8,3470636.86,9600489.78,1289819.18,9469689.52,17231753.93,40741177.24,97189071.77,51040327.79,56809262.59
e_1,787.87,11719.4,1359.36,2287.35,3229.78,17428.89,1465906.5,3255080.23,5099412.94,9593231.8,8609251.73,17119530.61,38665227.58,82551252.96,55114079.01,16128748.26
f_1,1193.9,2306.81,14288.12,2011.96,2249.46,12879.73,1792545.48,2421827.25,4037190.68,5400252.52,7211610.27,4656991.58,37968821.55,63297739.01,50674503.5,59462668.82
c_1,950.55,1141.82,1546.43,20590.75,5491.54,13659.52,1806040.32,3501162.65,1175203.93,5274644.56,3893937.78,11683151.37,44326462.99,90741237.84,65887367.47,92289758.31
b_1,1247.61,1222.48,1654.9,1791.66,39747.29,27104.06,1304248.82,3153735.58,3700701.61,4925182.91,2339924.38,15063197.54,38609082.24,84639713.63,36166396.17,70639584.86
a_1,1380.86,1317.21,1343.7,2065.0,3176.66,262459.37,1159113.48,2902370.53,4611400.59,4599024.39,8423727.76,18805698.26,40357630.89,68176783.07,,60139106.03
h_1,2249.21,1311.76,3300.17,2697.32,6940.82,18237.72,10823015.95,9741558.2,10128236.0,8390977.18,12432119.95,30465691.83,21232726.78,200770468.25,107933105.78,133754518.29
g_1,3621.89,1329.01,2154.24,2712.6,6342.37,22785.28,2360763.23,29788199.17,5933108.66,6399326.24,14417534.05,35431320.99,44789746.14,40345285.94,108165344.85,129596469.15
c_0,2502.99,2114.05,2923.63,1200.17,4109.11,22220.44,3256388.11,7283614.48,23085078.45,9447872.32,30747871.14,27928963.46,78459069.98,179404692.07,160617897.79,141470087.52
d_0,933.08,1676.14,3292.46,6486.54,4171.75,20717.6,3337217.12,6104881.5,7225631.78,23779905.77,12520022.2,32238916.68,61788529.61,142543971.94,119719592.39,133547581.01
b_0,2485.88,1676.14,2874.49,4527.12,2003.19,17345.55,2903100.72,6764868.69,9546546.77,11736028.9,43100458.41,26685550.7,71768051.16,149178901.56,247026260.53,120063429.54
f_0,2787.0,2172.27,1210.83,3526.39,6203.11,22349.23,2741633.03,5640566.57,9115412.4,8651889.08,16864302.97,93767860.22,73252907.39,163640479.78,135406987.25,231415280.01
h_0,2284.28,1832.68,3391.77,3534.42,5194.89,19263.02,1071933.49,10021963.38,7890334.2,8062435.46,13719738.83,26118857.77,26698098.36,192295462.01,77111040.58,158142560.37
g_0,3030.37,1857.21,2492.9,2474.66,4548.48,29281.39,2663760.54,3281216.01,8753489.28,7625689.19,13043944.09,46584658.97,55463881.86,64756818.28,93772151.84,141944473.29
a_0,2437.34,1835.32,2605.2,4005.76,6242.86,,2857534.63,6459866.74,7468866.77,8605019.19,13459140.44,32028431.73,84575051.36,130598946.35,503048304.61,143133952.12
e_0,2952.97,545.72,2378.27,3280.36,7027.29,24582.75,3092782.83,6886738.25,9716040.35,9336296.79,15598588.9,31109786.79,76660019.36,135914019.75,129896237.77,610252088.05
