,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.05,1.85,1.54,1.76,1.54,1.22,0.54,0.5,0.71,0.45,0.59,0.48,0.42,0.3,0.42,0.4
e_1,1.22,1.05,1.5,2.14,1.81,1.37,0.68,0.69,0.67,0.5,0.58,0.51,0.46,0.42,0.63,0.39
d_1,1.85,2.17,1.05,1.68,1.66,1.47,0.67,0.68,0.42,0.6,0.51,0.51,0.41,0.37,0.44,0.27
c_1,1.87,1.49,2.34,1.05,2.16,1.63,0.69,0.35,0.68,0.67,0.5,0.5,0.48,0.38,0.45,0.39
b_1,2.29,2.02,2.38,1.28,1.05,2.1,0.8,0.59,0.76,0.71,0.59,0.65,0.51,0.48,0.47,0.5
a_1,3.49,2.91,2.61,2.65,1.55,1.07,1.3,1.05,1.14,0.9,0.81,1.21,1.28,0.66,0.71,0.6
h_1,5.24,4.48,4.3,4.73,4.49,3.55,1.26,1.34,1.69,1.21,1.26,1.22,1.06,1.29,1.07,1.0
d_0,5.97,3.71,6.64,6.63,6.24,4.59,2.42,1.44,2.18,1.77,1.59,1.83,1.44,1.4,1.57,1.39
g_1,5.72,5.7,6.4,5.61,5.62,4.79,1.77,1.89,1.28,1.52,1.62,1.71,1.42,1.04,1.49,1.52
c_0,6.92,6.2,3.88,8.34,6.48,4.32,2.43,2.29,2.25,1.41,1.63,1.99,1.59,1.47,1.57,1.26
f_0,8.4,6.17,6.24,6.22,6.04,5.15,2.67,2.21,1.9,1.76,1.42,2.05,1.63,1.48,2.27,0.93
b_0,7.16,6.4,5.73,8.32,8.46,4.33,2.64,2.02,2.21,1.25,1.67,1.4,2.03,1.61,1.71,1.35
a_0,10.26,8.34,8.31,9.01,9.77,7.02,3.39,2.72,2.6,2.07,2.07,1.44,1.52,1.99,2.06,1.82
h_0,9.1,8.23,8.21,8.45,7.85,6.39,3.4,2.44,3.23,2.37,2.28,2.53,2.0,2.2,2.02,1.94
e_0,11.21,9.18,8.25,8.06,8.23,7.6,3.27,2.28,2.94,2.31,1.49,2.45,2.13,1.99,1.51,1.47
g_0,9.37,9.4,9.89,9.7,8.43,8.5,2.97,2.73,3.51,2.65,3.39,3.02,2.18,1.79,2.51,2.22
