,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.86,1.38,1.54,1.32,1.14,0.53,0.61,0.5,0.58,0.46,0.53,0.4,0.44,0.74,0.44
f_1,1.51,0.66,1.17,1.24,1.19,1.23,0.48,0.69,0.41,0.42,0.5,0.53,0.29,0.43,0.32,0.43
d_1,1.35,1.58,0.64,1.39,1.33,1.18,0.57,0.41,0.49,0.77,0.45,0.46,0.37,0.49,0.42,0.27
c_1,1.15,1.41,1.55,0.63,1.61,1.21,0.62,0.68,0.6,0.32,0.49,0.45,0.42,0.46,0.44,0.39
b_1,1.35,1.47,1.64,0.85,0.62,1.76,0.76,0.67,0.67,0.55,0.68,0.55,0.57,0.53,0.52,0.42
a_1,1.69,1.75,1.5,1.74,0.97,0.57,0.83,0.74,0.68,0.65,0.84,0.69,0.67,0.96,0.64,0.5
h_1,2.24,2.25,1.87,2.1,1.86,1.51,0.56,1.05,0.73,0.69,0.71,0.79,0.74,0.64,0.59,0.68
g_1,2.01,2.16,2.1,2.05,2.25,1.93,0.8,0.55,0.78,0.77,0.78,0.92,0.49,0.71,0.7,0.59
c_0,2.31,2.39,1.38,3.86,2.21,1.9,0.94,0.95,0.6,1.12,0.92,0.8,0.72,0.77,0.94,0.59
d_0,1.48,2.52,3.04,2.52,2.11,1.91,1.16,1.03,0.79,0.62,0.84,0.76,0.71,0.68,0.78,0.69
b_0,2.24,2.42,2.09,2.75,2.99,1.62,1.1,0.94,0.54,0.88,0.58,0.76,0.62,0.9,0.76,0.56
f_0,2.06,3.44,2.18,2.6,2.27,2.01,0.93,0.63,0.83,0.82,0.84,0.58,0.78,0.9,1.18,0.5
h_0,2.24,2.92,2.46,2.45,2.33,1.82,1.4,1.26,0.85,0.87,0.96,0.79,0.84,0.87,0.88,0.7
a_0,2.45,2.91,2.14,3.27,2.65,2.87,1.18,1.21,0.85,1.23,0.56,0.94,0.65,0.57,1.13,0.7
e_0,3.59,3.58,2.68,2.4,2.33,2.24,1.35,1.12,0.93,0.95,1.08,0.61,0.83,0.85,0.56,0.78
g_0,2.42,3.0,2.69,3.07,3.01,2.58,0.88,1.61,0.96,1.08,1.01,1.07,0.69,0.87,0.96,0.93
