,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.22,0.94,1.04,0.9,0.85,0.89,0.99,1.07,0.91,0.97,0.96,0.92,0.89,0.86,1.05
e_1,0.82,1.0,0.89,1.28,1.06,0.93,1.05,1.41,1.09,0.95,1.08,1.03,1.01,1.06,1.14,1.04
d_1,1.06,1.1,1.0,0.88,0.93,0.97,1.0,0.99,0.8,1.26,1.02,1.05,0.98,0.98,1.01,0.85
c_1,0.97,0.81,1.16,1.0,1.34,1.02,0.96,0.76,1.02,0.91,0.98,0.85,0.99,0.95,0.97,1.02
b_1,1.09,0.95,1.06,0.75,1.0,1.45,1.02,0.9,1.05,1.03,0.98,0.92,0.94,1.07,0.95,1.08
a_1,1.17,1.06,1.02,0.98,0.7,1.0,1.15,1.08,1.11,1.07,1.02,1.29,1.18,1.08,0.98,1.02
h_1,1.11,0.98,1.0,1.01,0.99,0.88,1.0,0.94,1.12,0.91,0.97,0.92,0.9,1.02,0.94,1.1
d_0,0.99,0.73,1.01,1.32,1.13,0.92,1.05,1.0,1.06,0.89,0.92,1.02,0.98,1.1,1.01,1.05
g_1,0.97,0.93,1.21,0.97,0.96,0.9,0.89,0.95,1.0,0.93,1.1,0.99,1.0,0.92,1.06,1.11
c_0,1.1,1.01,0.82,1.06,0.98,0.85,1.1,1.07,1.04,1.0,1.01,1.28,1.13,1.09,1.05,1.03
f_0,1.02,0.92,1.01,1.03,1.01,0.99,1.08,1.07,0.91,0.95,1.0,1.05,1.05,1.02,1.44,0.81
b_0,1.0,0.98,0.95,1.13,1.13,0.74,1.05,0.99,0.97,0.79,0.97,1.0,1.43,1.11,1.02,1.0
a_0,1.08,0.97,0.98,1.02,1.1,0.87,1.07,1.04,0.95,0.92,0.94,0.75,1.0,1.13,1.07,1.04
h_0,1.13,0.97,0.99,1.01,0.95,0.9,1.01,0.92,1.07,0.93,0.92,1.0,0.88,1.0,0.96,1.12
e_0,1.12,0.82,0.98,1.07,1.03,1.0,1.0,0.89,0.99,0.93,0.76,1.02,0.99,1.07,1.0,0.87
g_0,0.97,0.94,1.16,0.99,0.89,0.99,0.91,0.93,0.91,0.95,1.32,1.05,0.96,0.91,1.12,1.0
