,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,101.88,61.71,67.23,131.24,175.49,341.65,12185.93,14564.73,33275.88,23797.99,47912.03,37749.7,129261.37,127506.3,181412.72,294342.98
d_1,61.56,114.05,79.51,82.91,141.58,380.43,11363.02,12561.86,15378.9,35169.17,37986.17,43578.19,113215.02,121162.98,174771.88,231981.53
f_1,84.71,61.52,122.46,104.77,127.41,288.47,10364.9,11542.57,20056.67,22425.25,22411.66,34930.03,80939.33,79633.75,154157.21,247082.51
c_1,47.53,62.27,61.51,160.62,211.08,326.59,9379.34,11185.62,14475.99,13549.22,30817.01,24592.02,100755.7,88058.69,108043.61,180309.18
b_1,37.49,55.32,62.91,67.76,217.72,515.63,9049.05,9708.35,14447.18,19814.46,27758.0,24861.81,88209.71,97357.92,82361.76,189895.0
a_1,34.43,40.88,51.2,62.34,67.2,460.04,7315.68,7556.5,11616.17,14713.64,20112.96,25701.94,68745.77,68559.86,83269.18,154108.81
h_1,13.47,17.28,21.07,25.39,35.75,82.72,3912.73,3613.8,4392.13,5123.4,8808.55,8027.68,22897.54,30552.06,35913.98,76223.97
g_1,12.09,20.56,14.82,23.78,33.74,81.92,2388.9,4218.08,4308.51,5446.68,11191.36,8630.5,23136.09,29388.73,32809.28,49244.06
d_0,10.21,12.19,13.57,34.07,32.38,80.28,2473.63,2650.17,5186.96,3821.35,7551.38,5983.54,22905.31,25219.89,27433.73,52811.45
c_0,11.76,12.77,15.92,19.81,22.66,66.42,2406.78,2616.59,4044.15,6068.36,7691.86,11611.12,24268.03,24372.45,39917.49,44796.86
f_0,8.03,12.47,11.26,19.33,24.44,68.68,1876.95,2072.48,3808.92,3660.0,8457.04,6231.89,21081.2,35614.35,24627.13,43375.74
b_0,9.44,11.37,13.71,18.31,19.61,49.38,2088.12,2142.97,3645.73,3651.97,6739.07,8502.23,20612.06,20285.89,44666.66,46501.09
h_0,6.3,9.07,12.54,13.06,17.88,46.73,1154.97,1999.6,2531.4,2767.59,4398.4,5020.32,11249.55,15526.67,18502.28,35495.9
e_0,4.92,8.92,10.26,13.23,18.1,46.24,1285.32,1599.42,2384.27,2592.04,3438.08,4261.25,14344.11,20327.75,18778.36,30817.09
a_0,5.64,7.14,8.28,12.77,19.09,26.16,1317.11,1398.59,2382.87,2115.2,4337.28,3702.0,13094.87,13744.43,25307.3,28351.19
g_0,5.07,8.42,6.68,10.91,13.19,31.76,1095.58,1170.56,1844.69,2373.69,4597.54,3311.87,11423.17,13560.93,14437.24,20829.58
