,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.53,1.32,1.26,1.61,3.69,18.56,33.77,30.22,37.44,52.51,43.82,54.08,90.16,122.35,115.75
e_1,0.65,1.0,1.32,1.22,1.98,3.53,21.7,27.73,41.81,41.72,49.49,57.81,61.37,82.23,121.06,164.22
c_1,0.76,0.77,1.0,1.18,2.09,2.96,20.47,24.75,17.32,27.71,36.68,41.18,47.69,59.96,94.14,107.78
d_1,0.8,0.81,0.85,1.0,1.31,3.19,15.37,17.24,20.01,38.12,36.46,38.85,41.02,69.44,73.91,95.46
b_1,0.62,0.51,0.48,0.76,1.0,3.18,13.0,18.23,17.9,25.69,30.36,27.74,37.62,41.85,71.21,63.74
a_1,0.27,0.28,0.34,0.31,0.31,1.0,5.58,8.32,8.74,10.48,11.6,13.83,19.31,23.1,29.92,29.34
h_1,0.05,0.05,0.05,0.06,0.08,0.18,1.0,1.58,1.28,1.98,2.51,1.96,3.14,3.82,6.33,6.26
g_1,0.03,0.04,0.04,0.06,0.06,0.13,0.62,1.0,0.97,1.3,1.66,1.99,1.75,2.84,3.68,5.51
d_0,0.03,0.02,0.06,0.05,0.06,0.1,0.82,1.07,1.0,1.12,1.8,1.81,2.28,3.38,4.01,5.11
c_0,0.03,0.02,0.04,0.03,0.04,0.1,0.47,0.79,0.91,1.0,1.8,1.31,1.63,2.72,3.28,3.93
b_0,0.02,0.02,0.03,0.03,0.03,0.08,0.42,0.6,0.53,0.52,1.0,0.96,1.2,2.23,2.0,2.59
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.47,0.5,0.61,0.77,1.02,1.0,1.38,1.77,1.93,3.82
h_0,0.02,0.02,0.02,0.02,0.03,0.05,0.33,0.58,0.44,0.62,0.81,0.71,1.0,1.38,2.06,1.97
a_0,0.01,0.01,0.02,0.02,0.03,0.05,0.25,0.36,0.29,0.36,0.45,0.56,0.67,1.0,1.26,1.81
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.26,0.23,0.3,0.47,0.52,0.49,0.77,1.0,1.2
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.16,0.18,0.21,0.27,0.39,0.27,0.5,0.5,0.83,1.0
