,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.95,0.5,0.48,0.61,0.51,0.43,0.4,0.51,0.32,0.33,0.3,0.33,0.3,0.25,0.28,0.19
f_1,0.9,0.95,0.5,0.55,0.44,0.3,0.29,0.4,0.3,0.33,0.31,0.23,0.28,0.23,0.27,0.15
d_1,0.6,0.63,0.95,0.47,0.48,0.36,0.38,0.33,0.28,0.51,0.37,0.31,0.34,0.25,0.25,0.25
c_1,0.54,0.57,0.56,0.95,0.77,0.39,0.37,0.31,0.27,0.23,0.24,0.26,0.32,0.22,0.26,0.23
b_1,0.55,0.59,0.58,0.49,0.95,0.61,0.39,0.34,0.3,0.35,0.25,0.34,0.3,0.2,0.25,0.26
a_1,0.58,0.68,0.7,0.69,0.55,0.94,0.44,0.43,0.36,0.43,0.42,0.38,0.4,0.29,0.31,0.27
h_1,0.79,1.12,0.89,0.78,0.66,0.47,0.79,0.57,0.55,0.5,0.4,0.44,0.41,0.37,0.59,0.33
d_0,0.8,0.87,0.7,1.36,0.83,0.58,0.51,0.72,0.44,0.38,0.44,0.46,0.55,0.34,0.44,0.32
g_1,0.84,0.8,1.17,0.92,0.78,0.52,0.52,0.53,0.78,0.51,0.47,0.69,0.45,0.4,0.44,0.4
c_0,0.98,1.0,0.8,0.91,0.72,0.61,0.59,0.69,0.53,0.7,0.86,0.54,0.57,0.47,0.5,0.38
b_0,1.07,1.01,0.89,1.08,0.72,0.41,0.71,0.61,0.58,0.44,0.71,0.54,0.61,0.7,0.47,0.33
f_0,0.75,0.83,1.11,1.01,0.85,0.63,0.63,0.61,0.5,0.52,0.49,0.7,0.57,0.39,0.46,0.72
h_0,1.07,1.29,0.98,0.97,0.94,0.57,0.54,0.57,0.67,0.53,0.52,0.52,0.49,0.41,0.57,0.4
a_0,1.01,1.22,1.12,1.08,0.85,0.43,0.75,0.7,0.6,0.6,0.51,0.61,0.71,0.68,0.64,0.39
g_0,0.93,0.99,1.54,1.0,0.96,0.66,0.54,0.54,0.48,0.62,0.54,0.76,0.54,0.36,0.48,0.46
e_0,0.91,1.4,1.16,1.05,0.9,0.62,0.79,0.63,0.64,0.64,0.65,0.49,0.63,0.45,0.58,0.66
