,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,95.97,82.43,50.1,80.7,104.61,354.31,6391.24,14897.93,17419.24,22013.1,29825.69,22108.65,89613.31,76325.13,82428.87,171524.4
e_1,42.13,111.88,54.0,91.57,96.54,339.71,6660.59,16045.32,19233.05,33707.49,30661.6,36430.63,94064.06,80813.12,78535.68,174578.03
d_1,47.0,48.92,117.9,80.7,90.02,346.29,6336.77,12238.54,27796.13,12886.16,29041.86,32587.46,83800.96,71620.93,109504.56,168772.53
c_1,38.61,37.15,42.87,155.97,167.27,277.85,5891.65,11388.05,9559.36,13503.83,20907.8,29651.46,79671.23,63937.86,90957.73,177286.49
b_1,34.35,39.74,49.38,46.99,202.49,453.52,6000.71,11212.72,15765.01,15267.97,15569.06,31276.26,69286.37,53238.04,94855.35,127068.41
a_1,22.05,25.34,34.11,47.23,49.38,558.62,3710.97,6447.41,9198.6,10308.27,13843.44,17279.52,48412.29,32253.25,65529.12,121329.21
h_1,14.25,13.79,15.12,21.22,25.86,91.62,2943.5,4369.8,4418.83,5279.99,7701.17,9616.15,22918.01,20550.59,26753.63,61053.53
g_1,7.52,9.81,15.88,16.54,19.73,81.84,1303.67,5435.65,4479.39,4368.03,5878.26,10051.46,18713.25,15505.68,28434.79,26387.8
c_0,10.48,10.28,10.01,10.9,18.63,74.23,1385.98,2602.37,5565.49,4785.85,9348.88,7301.48,18994.97,17772.02,23332.18,38406.69
d_0,8.43,8.13,8.55,25.08,19.18,73.74,1316.87,2862.97,2750.58,5927.42,5070.28,7467.25,17254.15,14877.41,22425.43,32202.57
b_0,7.85,8.63,10.21,15.85,13.78,47.18,1335.8,2616.93,2796.36,4324.38,7693.56,6452.6,19906.55,22212.91,22686.95,35557.04
f_0,6.64,7.65,10.86,13.05,16.62,59.71,1172.25,2047.41,2902.51,3051.55,4965.83,9012.03,16627.79,12307.98,29533.33,27628.8
h_0,6.75,5.99,8.08,10.55,13.2,42.05,522.38,2165.57,2393.36,2656.72,2832.63,4406.8,8290.27,8260.55,12786.94,27206.3
a_0,5.66,6.82,7.79,11.66,12.76,20.99,927.7,1996.49,2459.47,2681.97,2691.85,4564.18,14472.05,16171.07,16354.53,23420.27
e_0,6.44,3.93,6.79,9.25,12.63,29.24,872.23,1328.79,2201.03,2184.52,3021.81,3521.45,12499.47,7890.39,22386.67,20796.88
g_0,4.2,4.65,7.75,7.56,12.38,34.0,601.74,982.57,1931.12,2001.77,2686.53,5021.88,8402.03,8327.64,11325.64,13132.94
