,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.0,1.28,1.37,1.86,2.25,17.49,21.98,33.15,37.86,52.42,,78.53,107.75,83.51,119.73
d_1,1.0,1.0,0.93,1.28,1.23,2.41,18.36,22.6,37.58,,39.55,56.37,60.03,82.38,84.96,97.58
e_1,0.78,1.08,1.0,1.08,1.58,2.27,16.35,26.12,27.28,45.31,37.64,41.47,72.13,70.33,104.33,
c_1,0.73,0.78,0.93,1.0,1.33,2.64,10.73,19.9,,20.75,29.04,34.83,50.8,67.63,75.88,68.55
b_1,0.54,0.81,0.63,0.75,1.0,2.42,10.74,16.15,18.54,21.67,,27.39,47.89,46.91,48.73,66.89
a_1,0.44,0.42,0.44,0.38,0.41,1.0,7.65,10.3,10.53,11.3,,,27.38,,32.91,
h_1,0.06,0.05,0.06,0.09,0.09,0.13,1.0,1.83,1.99,2.26,2.75,2.63,,4.31,7.67,6.5
g_1,0.05,0.04,0.04,0.05,0.06,0.1,0.55,1.0,1.04,0.89,1.85,1.84,2.42,4.28,,
c_0,0.03,0.03,0.04,,0.05,0.09,0.5,0.96,1.0,1.35,2.22,1.84,2.32,,3.51,2.63
d_0,0.03,,0.02,0.05,0.05,0.09,0.44,1.12,0.74,1.0,1.48,1.21,2.12,2.56,2.28,3.78
b_0,0.02,0.03,0.03,0.03,,,0.36,0.54,0.45,0.68,1.0,1.18,1.96,3.41,2.26,2.31
f_0,,0.02,0.02,0.03,0.04,,0.38,0.54,0.54,0.83,0.85,1.0,1.78,1.87,1.75,2.79
h_0,0.01,0.02,0.01,0.02,0.02,0.04,,0.41,0.43,0.47,0.51,0.56,,1.22,1.63,1.26
a_0,0.01,0.01,0.01,0.01,0.02,,0.23,0.23,,0.39,0.29,0.53,0.82,1.0,1.01,
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.13,,0.28,0.44,0.44,0.57,0.61,0.99,,1.15
e_0,0.01,0.01,,0.01,0.01,,0.15,,0.38,0.26,0.43,0.36,0.79,,0.87,1.0
