,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.59,0.06,0.08,0.08,0.08,0.08,0.32,0.71,0.25,0.34,0.39,0.4,0.53,0.25,0.51,
f_1,0.13,5.9,0.09,0.07,0.08,0.05,0.35,0.32,0.27,0.39,0.38,,0.78,0.38,0.4,0.29
d_1,0.09,0.07,6.11,0.06,0.08,,0.31,,0.43,0.78,0.32,0.39,0.49,0.41,0.57,0.3
c_1,0.07,0.08,0.07,6.65,0.18,0.06,0.32,0.46,0.31,,0.38,0.32,0.58,0.34,0.58,0.3
b_1,0.08,0.07,0.09,0.07,7.57,0.17,0.22,0.49,0.24,0.35,,0.46,0.35,0.41,0.44,0.57
a_1,0.07,0.09,,0.11,0.07,10.23,0.25,0.46,,0.31,0.22,0.27,0.55,,0.69,0.4
h_1,0.25,0.44,0.28,0.22,0.2,0.37,15.11,1.48,1.25,1.69,1.38,1.16,,1.26,3.05,1.87
d_0,0.38,0.4,,0.73,0.39,0.42,1.35,11.82,1.25,1.72,1.62,1.92,3.51,1.88,3.3,1.61
g_1,0.26,0.29,0.43,0.32,0.28,,1.02,1.09,18.35,1.37,1.79,1.66,2.84,1.42,,
c_0,0.35,0.54,0.31,,0.2,0.33,1.93,1.28,1.43,13.04,3.28,1.69,2.8,1.66,3.77,2.11
b_0,0.35,0.37,0.31,0.3,,0.46,1.63,2.1,1.18,1.77,13.99,1.69,3.79,3.14,3.17,2.05
f_0,0.35,,0.34,0.4,0.32,0.35,2.0,2.11,1.15,1.76,1.83,14.66,3.13,2.2,2.46,3.64
h_0,0.56,0.76,0.63,0.52,0.57,0.52,,2.34,3.35,2.8,3.03,3.23,,2.8,4.72,2.53
a_0,0.36,0.26,0.41,0.34,0.44,,1.09,2.47,1.52,2.28,1.68,1.39,3.58,22.28,3.17,
g_0,0.63,0.42,0.93,0.49,0.59,0.46,1.95,2.6,,1.78,3.06,5.14,3.94,2.23,,3.22
e_0,,0.46,0.4,0.69,0.32,0.53,1.02,1.61,,1.68,1.94,2.35,2.69,,2.27,22.47
