,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.37,1.74,1.09,1.32,1.28,1.04,2.16,2.59,2.4,2.22,2.8,1.65,2.84,2.15,1.99,3.1
e_1,1.24,2.41,1.1,1.43,1.06,1.27,2.49,4.27,2.33,2.69,2.52,3.1,3.44,2.92,2.64,3.48
d_1,1.43,1.24,2.52,0.9,1.14,1.24,2.34,1.89,2.17,4.38,3.06,2.74,3.79,3.35,3.22,2.9
c_1,1.21,1.1,1.3,2.59,1.97,1.05,2.4,2.39,2.16,1.45,2.39,2.68,3.56,2.56,2.57,2.89
b_1,1.07,1.32,1.39,1.09,2.79,2.28,2.46,2.47,2.21,2.37,1.79,2.42,2.68,1.98,1.93,3.22
a_1,1.36,1.16,1.36,1.35,0.95,3.29,2.37,2.49,2.48,2.75,3.1,3.57,3.59,2.61,3.39,3.99
h_1,1.75,1.16,1.47,1.37,1.23,1.19,4.02,2.92,3.68,2.84,2.99,2.78,3.12,3.0,3.37,4.37
d_0,1.45,1.13,0.89,2.27,1.43,1.19,2.6,3.94,2.37,2.41,2.61,3.33,3.73,2.73,3.33,4.1
g_1,1.24,1.2,1.93,1.38,1.41,1.2,2.06,2.74,4.45,2.48,3.45,4.57,3.33,3.38,3.05,3.01
c_0,1.5,1.16,1.27,1.26,1.27,1.36,2.94,2.84,3.54,4.16,5.22,3.4,3.95,3.88,3.25,4.12
b_0,1.4,1.46,1.51,1.5,0.95,0.97,2.94,3.12,2.87,2.4,4.38,3.38,3.37,5.8,3.56,3.54
f_0,1.12,1.13,1.69,1.45,1.62,1.21,2.47,2.65,2.61,2.96,3.26,4.64,4.15,3.26,5.44,3.49
h_0,1.68,1.21,1.3,1.34,1.41,1.47,2.04,2.84,3.1,2.83,3.2,2.97,3.11,3.08,3.29,4.41
a_0,1.54,1.29,1.45,1.49,1.53,0.7,2.89,2.93,2.57,3.05,2.69,3.07,3.71,4.98,3.14,3.49
e_0,1.5,0.87,1.5,1.38,1.77,1.31,2.91,3.17,3.02,3.02,3.18,2.73,3.82,2.73,5.21,5.11
g_0,1.16,1.07,2.02,1.44,1.39,1.21,2.57,2.44,2.61,2.74,3.15,4.62,3.39,3.42,3.02,3.31
