,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.05,1.17,1.6,1.91,1.72,1.34,0.66,0.59,0.49,0.69,0.49,0.63,0.4,0.42,0.59,0.38
f_1,1.85,1.05,1.61,1.81,1.55,1.19,0.51,0.51,0.47,0.69,0.52,0.59,0.31,0.39,0.39,0.42
d_1,2.13,2.01,1.05,1.74,1.75,1.56,0.63,0.65,0.59,0.44,0.52,0.49,0.41,0.45,0.43,0.28
c_1,1.64,1.9,2.61,1.05,2.11,1.67,0.78,0.39,0.76,0.68,0.53,0.51,0.41,0.47,0.52,0.43
b_1,2.16,2.5,2.2,1.31,1.06,2.34,0.91,0.68,0.8,0.99,0.89,0.69,0.5,0.62,0.5,0.47
a_1,2.91,3.24,2.65,2.54,1.42,1.06,1.18,0.92,0.77,0.86,0.89,0.76,0.68,1.05,0.72,0.67
h_1,5.03,4.87,4.49,4.94,4.34,3.52,1.27,1.59,1.4,1.85,1.4,1.35,1.15,1.14,1.0,1.1
d_0,3.94,5.27,7.14,6.24,5.69,4.34,2.21,1.42,1.69,2.28,1.52,1.7,1.34,1.51,1.53,1.47
c_0,6.39,6.35,3.63,8.24,5.17,5.33,2.19,2.15,1.38,2.02,1.81,1.59,1.23,1.58,1.38,1.16
g_1,5.58,5.97,6.29,6.21,4.39,5.95,1.73,1.76,1.59,1.27,1.65,1.65,0.97,1.24,1.44,1.39
b_0,5.93,6.21,5.34,7.31,6.42,5.15,2.42,1.99,1.22,2.35,1.41,1.64,1.34,1.92,1.38,1.25
f_0,5.99,8.16,6.05,6.86,5.38,6.16,2.3,2.03,1.92,1.66,1.76,1.37,1.42,1.39,1.72,0.92
h_0,7.71,9.29,7.7,8.13,7.63,6.59,3.7,2.34,2.5,3.18,2.31,2.17,2.08,1.96,2.12,1.76
a_0,8.67,9.19,8.61,9.32,9.65,7.63,3.15,2.77,2.33,3.86,1.6,2.57,2.19,1.51,1.97,1.61
e_0,10.73,12.91,8.9,8.58,7.24,6.91,4.04,2.94,2.92,2.62,2.88,1.58,1.98,2.25,1.48,1.81
g_0,9.78,8.81,9.47,8.98,9.07,7.0,2.86,2.9,2.74,3.52,2.65,2.83,1.68,2.3,2.48,2.21
