,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.38,0.28,0.22,0.24,0.27,0.37,0.55,0.49,,0.99,0.54,0.58,0.85,0.7,0.72,0.61
f_1,0.23,2.41,0.43,0.33,0.25,0.27,0.5,0.5,0.56,0.62,0.59,,0.78,0.63,0.87,0.42
e_1,0.32,0.24,2.42,0.26,0.26,0.31,0.49,0.54,0.94,0.66,0.65,0.69,0.63,0.5,0.63,
c_1,0.25,0.21,0.27,2.65,0.42,0.24,0.61,0.63,0.6,,0.44,0.72,0.77,0.55,0.79,0.81
b_1,0.31,0.29,0.3,0.24,2.75,,0.47,0.48,0.59,0.54,,0.67,0.69,,0.78,0.66
a_1,0.25,0.32,0.28,0.27,,3.27,0.68,,0.7,0.59,0.53,0.64,0.71,,0.74,
h_1,0.51,0.65,0.53,0.56,0.56,0.4,3.81,1.53,1.15,1.14,0.92,1.03,,1.27,2.04,0.94
g_1,0.76,0.52,0.52,0.58,0.61,,0.85,4.09,1.15,1.31,1.17,1.37,1.44,,,
d_0,,0.63,0.53,0.91,0.65,0.55,1.44,0.97,3.39,1.22,1.45,1.42,1.85,1.18,1.83,1.76
c_0,0.55,0.55,0.46,,0.67,0.65,1.24,1.01,1.66,3.38,2.16,1.43,1.78,1.51,1.55,1.87
b_0,0.68,0.63,0.54,0.74,,0.53,1.38,1.35,1.37,1.15,3.74,0.91,1.97,1.74,1.71,1.09
f_0,0.67,,0.56,0.51,0.67,0.61,1.36,1.17,1.42,1.47,1.65,3.86,1.59,1.41,1.22,2.47
h_0,0.71,1.04,0.79,0.61,0.85,0.75,,1.6,1.61,1.92,1.42,1.66,,1.57,2.36,1.39
a_0,0.51,0.7,0.72,0.79,,,1.21,,1.62,1.32,1.37,1.33,1.96,4.4,1.81,
g_0,1.03,0.69,0.95,0.69,0.75,0.69,1.18,,1.39,1.8,1.43,2.74,1.9,1.24,,
e_0,0.7,0.64,,0.46,0.58,,1.45,,1.2,1.15,1.95,1.23,2.23,,,4.88
