,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,3.65,0.4,0.39,0.4,0.41,0.32,0.7,0.68,1.52,0.85,0.81,0.88,0.76,0.79,1.06,0.24
f_1,0.75,3.75,0.38,0.33,0.34,0.42,0.66,0.58,0.72,0.77,0.93,0.12,0.83,0.76,0.81,0.78
d_1,0.39,0.43,4.26,0.35,0.31,0.47,0.85,0.75,0.16,1.58,0.75,0.84,1.03,0.79,0.88,0.73
c_1,0.36,0.33,0.35,4.32,0.8,0.31,0.82,0.72,0.94,0.18,0.57,0.99,0.96,0.76,0.71,0.88
b_1,0.37,0.46,0.43,0.34,5.09,0.69,0.67,0.88,0.57,0.78,0.16,0.9,0.77,0.65,0.56,0.87
a_1,0.35,0.36,0.44,0.42,0.39,7.41,0.79,0.71,0.75,0.72,0.7,1.02,1.0,,0.74,0.75
h_1,0.56,1.14,0.68,0.65,0.56,0.46,5.15,1.69,1.44,1.29,1.65,1.35,0.65,1.39,1.53,1.53
g_1,0.61,0.64,1.07,0.73,0.52,0.66,1.28,6.02,1.0,0.86,1.48,2.1,1.54,1.46,0.85,1.3
d_0,0.53,0.68,0.25,1.48,0.77,0.65,1.17,1.15,3.56,1.28,1.53,1.23,1.53,1.72,1.48,1.51
c_0,0.76,0.86,0.74,0.32,0.55,0.62,1.3,1.29,1.56,3.99,3.12,1.16,1.84,1.62,1.72,1.83
b_0,0.67,0.8,0.86,0.91,0.13,0.38,1.57,1.48,1.26,1.26,4.42,1.42,1.6,3.25,1.8,1.62
f_0,0.61,0.22,0.86,0.94,0.72,0.66,1.35,1.62,1.62,1.61,1.71,4.81,1.73,1.56,1.86,3.72
h_0,0.65,1.01,0.77,0.72,0.68,0.56,0.37,1.6,0.93,1.07,1.5,1.44,0.44,1.33,2.65,1.36
a_0,0.7,0.7,0.64,1.0,0.6,0.29,1.4,1.18,1.9,1.68,1.6,1.11,1.82,6.33,1.93,1.35
g_0,0.46,0.87,1.14,0.62,0.56,0.66,1.1,0.79,1.01,1.13,2.0,2.12,1.42,1.68,0.92,1.78
e_0,0.24,0.76,0.85,0.78,0.72,0.75,1.9,1.09,1.98,1.66,1.96,1.69,1.72,1.94,2.19,6.89
