,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.95,0.69,0.44,0.44,0.38,0.23,0.25,0.28,0.25,0.26,0.25,0.16,0.25,0.2,0.21,0.14
e_1,0.46,0.95,0.43,0.5,0.4,0.28,0.3,0.49,0.26,0.26,0.29,0.3,0.27,0.18,0.25,0.17
d_1,0.57,0.48,0.95,0.36,0.41,0.28,0.3,0.19,0.24,0.47,0.29,0.25,0.25,0.23,0.2,0.2
c_1,0.49,0.44,0.51,0.95,0.65,0.27,0.29,0.22,0.26,0.15,0.21,0.28,0.24,0.2,0.21,0.16
b_1,0.51,0.48,0.45,0.43,0.94,0.59,0.34,0.31,0.26,0.28,0.19,0.25,0.22,0.15,0.24,0.18
a_1,0.65,0.58,0.56,0.58,0.33,0.94,0.51,0.35,0.36,0.29,0.39,0.26,0.35,0.18,0.23,0.22
h_1,0.98,0.73,0.81,0.75,0.57,0.36,0.76,0.37,0.5,0.38,0.43,0.35,0.33,0.26,0.43,0.28
d_0,0.76,0.59,0.52,1.34,0.78,0.53,0.57,0.67,0.38,0.35,0.47,0.42,0.37,0.27,0.43,0.38
g_1,0.83,0.76,1.11,0.65,0.65,0.4,0.44,0.44,0.74,0.53,0.44,0.64,0.45,0.36,0.29,0.29
c_0,0.9,0.91,0.71,0.7,0.58,0.53,0.52,0.5,0.43,0.67,0.8,0.48,0.51,0.38,0.4,0.33
b_0,0.88,0.85,0.9,0.92,0.54,0.42,0.55,0.49,0.44,0.44,0.66,0.4,0.51,0.58,0.36,0.35
f_0,0.74,0.66,0.91,0.86,0.79,0.53,0.58,0.56,0.42,0.5,0.58,0.66,0.5,0.42,0.33,0.62
h_0,1.18,0.9,0.96,0.8,0.79,0.47,0.43,0.52,0.55,0.49,0.51,0.42,0.36,0.37,0.51,0.31
a_0,0.89,1.01,1.0,0.93,0.91,0.5,0.7,0.56,0.48,0.45,0.44,0.49,0.48,0.6,0.52,0.31
g_0,0.88,0.78,1.29,1.01,0.73,0.54,0.59,0.54,0.41,0.51,0.57,0.74,0.41,0.36,0.37,0.37
e_0,1.06,0.62,0.89,1.09,0.91,0.66,0.62,0.56,0.52,0.53,0.63,0.46,0.65,0.41,0.47,0.62
