,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.73,0.6,0.67,0.72,0.56,0.29,0.41,0.29,0.33,0.28,0.37,0.21,0.32,0.26,0.26
e_1,0.45,0.4,0.69,0.82,0.66,0.67,0.44,0.38,0.31,0.37,0.33,0.38,0.27,0.32,0.3,0.47
d_1,0.71,0.71,0.4,0.62,0.65,0.64,0.32,0.27,0.36,0.38,0.31,0.31,0.24,0.27,0.19,0.28
c_1,0.7,0.53,0.81,0.38,0.78,0.6,0.36,0.35,0.36,0.19,0.28,0.28,0.27,0.28,0.27,0.27
b_1,0.71,0.7,0.71,0.45,0.37,0.79,0.42,0.37,0.37,0.3,0.36,0.3,0.27,0.28,0.27,0.3
a_1,0.86,0.67,0.64,0.73,0.41,0.31,0.38,0.4,0.27,0.34,0.36,0.26,0.27,0.41,0.24,0.33
h_1,0.73,0.58,0.65,0.66,0.56,0.56,0.24,0.37,0.27,0.28,0.3,0.25,0.27,0.27,0.24,0.27
g_1,0.69,0.65,0.63,0.67,0.65,0.58,0.26,0.22,0.27,0.24,0.27,0.31,0.18,0.26,0.24,0.25
c_0,0.75,0.63,0.41,0.93,0.63,0.69,0.35,0.32,0.23,0.37,0.34,0.29,0.25,0.32,0.24,0.28
d_0,0.61,0.41,0.75,0.8,0.66,0.61,0.34,0.41,0.26,0.23,0.3,0.27,0.25,0.31,0.27,0.31
b_0,0.75,0.58,0.52,0.83,0.8,0.53,0.32,0.3,0.19,0.3,0.22,0.26,0.25,0.32,0.24,0.29
f_0,0.78,0.58,0.62,0.62,0.64,0.56,0.36,0.25,0.26,0.31,0.28,0.21,0.23,0.26,0.18,0.32
h_0,0.67,0.6,0.61,0.65,0.54,0.55,0.38,0.37,0.26,0.32,0.26,0.28,0.29,0.27,0.25,0.25
a_0,0.59,0.59,0.66,0.72,0.72,0.65,0.33,0.34,0.25,0.3,0.18,0.28,0.21,0.19,0.24,0.26
g_0,0.69,0.59,0.66,0.65,0.6,0.61,0.27,0.38,0.26,0.28,0.26,0.29,0.19,0.26,0.28,0.29
e_0,0.83,0.69,0.61,0.63,0.61,0.5,0.29,0.33,0.29,0.23,0.27,0.16,0.29,0.28,0.19,0.18
