,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,16.32,0.42,0.65,0.78,0.5,0.55,0.95,0.8,0.86,2.25,1.06,1.03,0.9,0.4,0.84,0.75
d_1,0.59,18.29,0.54,0.43,0.51,0.55,0.94,0.87,2.37,0.29,1.16,1.12,0.96,1.08,1.09,1.06
f_1,1.28,0.61,16.46,0.46,0.45,0.41,0.9,0.91,0.81,0.86,0.33,0.89,0.73,0.55,1.07,0.87
c_1,0.4,0.53,0.58,18.97,1.35,0.5,0.81,0.71,0.37,0.89,0.91,0.54,1.03,0.94,0.73,1.14
b_1,0.49,0.48,0.5,0.55,19.57,1.54,0.8,0.82,0.59,0.82,0.88,0.3,1.13,0.99,0.69,0.93
a_1,0.54,0.63,0.58,0.72,0.57,26.36,0.7,1.01,0.72,0.89,0.83,1.17,0.87,1.25,0.41,0.85
h_1,0.57,0.83,1.1,0.8,0.63,0.61,4.35,1.53,1.12,0.98,1.2,1.31,0.84,1.22,1.16,1.63
g_1,0.65,1.64,0.58,0.43,0.61,0.77,1.18,5.92,1.49,0.82,2.09,1.47,1.03,1.37,1.09,0.67
c_0,0.73,0.97,0.88,0.36,0.52,0.66,1.41,1.32,3.37,1.04,1.35,3.3,1.16,1.09,1.6,1.33
d_0,0.68,0.3,0.73,2.51,0.8,0.51,1.22,0.84,0.61,3.32,1.04,1.1,1.45,1.09,1.26,1.07
f_0,0.53,0.87,0.56,0.69,0.82,0.72,1.38,1.38,1.37,1.12,4.0,1.5,1.49,4.3,1.25,1.39
b_0,0.64,1.22,0.92,0.81,0.34,0.4,1.21,1.21,1.22,1.21,1.23,3.87,1.58,1.31,3.79,1.18
h_0,0.54,0.8,1.27,0.95,0.62,0.78,0.58,1.82,0.99,1.15,1.08,1.22,0.83,1.16,1.52,1.73
e_0,0.36,0.85,0.94,0.68,0.69,0.76,1.68,1.23,1.24,1.0,1.17,1.32,1.89,4.64,1.2,1.36
a_0,0.69,0.93,0.95,0.8,0.66,0.27,1.4,1.23,1.19,1.03,1.49,1.34,1.63,1.46,4.7,1.62
g_0,0.51,1.56,0.56,1.01,0.68,0.71,1.0,0.59,1.07,0.86,1.9,1.43,1.1,1.34,1.16,0.59
