,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.9,1.31,1.2,1.37,2.97,15.31,26.84,29.01,32.79,36.64,39.33,60.3,97.26,99.46,80.25
d_1,1.09,1.0,1.1,1.09,1.4,2.86,15.91,22.37,26.84,41.76,34.34,45.98,69.17,73.09,93.54,93.96
e_1,0.78,0.9,1.0,1.29,1.36,3.47,17.09,27.27,37.73,33.96,40.85,47.03,69.25,90.04,105.07,131.13
c_1,0.81,0.96,0.77,1.0,1.6,2.59,14.0,21.1,17.75,26.15,31.91,31.2,62.09,78.59,76.39,85.7
b_1,0.73,0.71,0.71,0.64,1.0,3.35,12.77,18.57,18.43,25.59,26.42,31.01,47.72,66.02,61.85,75.96
a_1,0.33,0.34,0.29,0.39,0.31,1.0,5.38,7.96,9.68,9.66,12.04,14.8,22.09,27.99,29.54,33.09
h_1,0.06,0.06,0.06,0.07,0.08,0.19,1.0,1.73,1.65,1.83,2.07,2.57,4.08,5.84,5.09,5.96
g_1,0.04,0.05,0.04,0.05,0.06,0.12,0.57,1.0,0.98,1.34,1.55,1.88,2.39,3.08,3.47,4.16
d_0,0.03,0.04,0.03,0.05,0.06,0.11,0.61,1.02,1.0,0.99,1.28,1.43,2.37,3.27,3.54,3.53
c_0,0.03,0.02,0.03,0.04,0.04,0.1,0.54,0.74,1.01,1.0,1.12,1.69,2.1,2.57,3.28,3.32
f_0,0.03,0.03,0.03,0.03,0.04,0.09,0.46,0.67,0.79,0.91,1.0,1.18,1.89,1.93,2.49,3.82
b_0,0.03,0.02,0.02,0.03,0.03,0.07,0.39,0.56,0.66,0.58,0.86,1.0,1.71,1.97,3.06,2.23
h_0,0.02,0.01,0.01,0.02,0.02,0.05,0.26,0.39,0.41,0.45,0.52,0.59,1.0,1.5,1.31,1.35
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.18,0.31,0.3,0.39,0.48,0.49,0.67,1.0,1.1,1.11
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.2,0.29,0.27,0.3,0.41,0.34,0.78,0.91,1.0,1.04
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.24,0.27,0.31,0.28,0.46,0.74,0.9,1.04,1.0
