,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.94,0.64,0.42,0.41,0.35,0.2,0.24,0.26,0.23,0.24,0.22,0.14,0.23,0.18,0.2,0.13
e_1,0.43,0.94,0.39,0.46,0.36,0.27,0.27,0.46,0.24,0.24,0.28,0.28,0.24,0.16,0.23,0.15
d_1,0.54,0.44,0.94,0.32,0.38,0.25,0.27,0.14,0.21,0.44,0.27,0.23,0.22,0.22,0.18,0.18
c_1,0.45,0.41,0.47,0.94,0.6,0.24,0.26,0.2,0.24,0.12,0.2,0.26,0.22,0.19,0.19,0.15
b_1,0.46,0.44,0.41,0.41,0.94,0.54,0.3,0.29,0.23,0.26,0.16,0.23,0.2,0.14,0.22,0.16
a_1,0.62,0.53,0.53,0.52,0.3,0.93,0.49,0.33,0.34,0.26,0.38,0.24,0.33,0.15,0.21,0.21
h_1,0.9,0.68,0.74,0.7,0.52,0.34,0.74,0.34,0.47,0.35,0.38,0.31,0.27,0.23,0.4,0.27
d_0,0.7,0.55,0.44,1.22,0.68,0.47,0.55,0.66,0.34,0.35,0.42,0.4,0.35,0.25,0.39,0.36
g_1,0.7,0.72,1.04,0.59,0.62,0.32,0.42,0.43,0.74,0.47,0.39,0.56,0.4,0.34,0.23,0.27
c_0,0.82,0.81,0.64,0.65,0.56,0.53,0.51,0.46,0.41,0.65,0.72,0.47,0.47,0.31,0.38,0.31
b_0,0.84,0.8,0.81,0.84,0.46,0.38,0.51,0.46,0.41,0.4,0.64,0.37,0.47,0.54,0.34,0.3
f_0,0.61,0.58,0.87,0.85,0.72,0.51,0.56,0.51,0.39,0.46,0.51,0.65,0.45,0.39,0.31,0.59
h_0,1.09,0.81,0.92,0.77,0.72,0.46,0.39,0.51,0.52,0.45,0.48,0.41,0.33,0.33,0.49,0.27
a_0,0.77,0.99,0.87,0.84,0.84,0.39,0.66,0.51,0.43,0.46,0.43,0.48,0.46,0.6,0.52,0.31
g_0,0.87,0.71,1.21,0.91,0.67,0.52,0.54,0.48,0.36,0.45,0.53,0.66,0.38,0.34,0.33,0.33
e_0,0.98,0.56,0.79,1.06,0.85,0.57,0.54,0.54,0.5,0.51,0.62,0.42,0.62,0.33,0.45,0.6
