,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.41,0.23,0.28,0.34,0.25,0.3,0.63,0.94,0.46,0.51,0.54,0.81,0.74,,0.47,0.66
f_1,0.54,2.47,0.27,0.19,0.21,0.27,0.51,0.53,0.55,0.8,,0.48,0.67,0.6,0.58,0.68
d_1,0.24,0.33,2.52,0.26,0.28,0.23,0.58,,0.55,1.03,0.57,0.62,0.7,0.71,0.49,0.61
c_1,0.19,0.31,0.28,2.52,0.48,0.24,0.54,0.45,0.39,,0.77,0.61,0.97,0.6,0.6,0.8
b_1,0.27,0.3,0.29,0.23,2.71,0.43,0.61,0.63,0.52,0.62,0.63,,0.7,0.71,0.53,0.73
a_1,0.27,0.29,0.34,0.3,0.2,3.22,0.51,0.63,0.5,0.49,0.43,0.77,0.96,,,0.66
h_1,0.43,0.62,0.5,0.62,0.5,0.48,3.78,1.14,1.34,1.02,1.12,1.1,,1.38,1.23,2.03
d_0,0.58,0.57,,1.04,0.61,0.63,1.21,3.35,1.4,1.08,1.41,1.47,1.5,1.27,1.67,1.38
g_1,0.57,0.45,0.65,0.64,0.49,0.5,0.91,0.91,4.11,1.25,1.97,0.96,1.25,1.12,1.21,
c_0,0.77,0.53,0.52,,0.53,0.53,1.44,1.4,1.17,3.47,1.61,1.85,1.85,1.25,1.16,1.87
f_0,0.54,,0.71,0.53,0.67,0.89,1.07,1.41,0.97,1.04,3.74,1.48,1.68,2.52,1.75,1.5
b_0,0.42,0.89,0.55,0.56,,0.42,1.19,1.51,1.25,1.23,1.2,3.88,1.67,1.4,2.27,1.87
h_0,0.74,0.97,0.81,0.65,0.7,0.68,,2.1,1.82,1.75,1.62,1.67,,0.99,1.53,2.3
e_0,,0.46,0.43,0.63,0.57,,1.26,1.52,1.27,1.52,0.98,1.31,2.71,4.61,,2.24
a_0,0.63,0.67,0.56,0.64,0.78,,1.4,1.31,1.35,1.52,1.0,1.17,1.8,,4.38,1.99
g_0,0.69,0.68,1.14,0.66,0.82,0.75,1.24,1.68,,1.82,2.19,1.42,2.09,1.33,1.59,
