,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10773.79,8715.62,7158.55,8148.87,11756.65,65419.54,8482313.51,14087161.95,17920730.44,25178835.18,47743867.06,51748874.99,174098628.7,201724380.59,154087187.14,458686685.04
e_1,5282.03,12111.38,9656.67,6599.11,14983.72,77208.04,8065087.3,21759422.62,21019634.86,26310429.77,42573000.91,65489013.7,151174888.45,185885841.21,171671659.05,461281341.56
c_1,4827.94,4742.52,18427.37,7846.09,23830.87,87491.48,8177905.1,12561308.9,20860567.44,16965330.59,28359658.14,66085942.53,158982543.99,217744140.31,222787135.47,420088628.55
d_1,5608.58,5079.48,6550.79,21575.99,11863.92,71669.69,8135886.64,10524306.71,24644351.34,52134803.11,60579382.65,66441845.13,190278201.36,238309667.68,237710915.38,467892377.81
b_1,4972.01,5139.68,7904.28,7670.19,36746.9,148669.55,8071473.21,12795296.88,19831981.89,23725438.75,28891809.33,75840635.86,169702079.37,174935010.29,220305995.41,428940062.21
a_1,4943.88,5381.14,8341.67,10239.51,12265.13,298609.68,8809400.13,13977700.23,26447647.64,28278480.64,48490565.35,74764348.28,202565727.96,147091981.11,223085168.2,472841077.82
h_1,7148.29,5865.5,8267.52,10679.38,12530.31,64096.95,14870169.49,12870961.5,28258070.07,28820884.2,48190983.18,73994490.35,168899487.65,222930360.1,227761806.02,625212236.52
d_0,5349.2,5605.42,13120.34,6763.2,15996.41,82853.96,8452340.94,19653098.15,23059289.41,21013090.53,49634254.61,64758401.73,157332629.78,227984609.48,233441771.94,481649986.11
g_1,4811.07,5033.32,8990.86,13355.87,13572.11,65083.0,7569123.7,13024544.5,48675583.69,32524459.39,52197675.78,113570754.08,161586500.16,204449920.63,295647908.33,408487544.79
c_0,5730.96,5871.61,7558.85,10392.38,11458.97,79028.63,8553251.79,15679758.29,26409561.51,47343001.35,90880162.45,73819029.16,221859496.49,318036222.68,267869860.9,570046450.95
b_0,5716.3,6161.67,9199.28,10437.89,10318.98,55303.68,9160004.2,15839311.79,28586887.95,33544155.55,91194102.26,87400379.15,205654107.18,472881120.76,243297732.42,545479231.67
f_0,4651.52,5070.85,8942.59,11224.57,15359.13,73736.64,8575537.49,15321042.94,24936388.51,31499501.89,53532643.53,130099980.28,219311407.22,240744144.16,478311661.42,543727474.63
h_0,6606.65,5974.56,7865.72,10297.4,14557.74,74044.84,7486630.06,12346645.01,29062638.31,29571604.45,47240188.11,81358440.68,141350482.81,237578556.41,241547389.02,635997771.02
a_0,5497.84,6177.88,9597.0,10733.91,13292.82,59504.69,9929224.78,14716657.67,25578218.18,28992686.34,57913421.13,82266618.78,192179372.59,427436440.74,310472222.39,445177664.03
e_0,5492.43,3874.51,8856.46,10902.07,14450.36,83210.2,10023654.15,14313081.95,25370040.36,32962925.22,62877279.68,84821381.65,220492424.92,273083392.67,476788057.7,623236163.77
g_0,5473.93,5056.65,8305.31,14009.47,14510.68,82903.13,8072034.36,11764611.99,18986704.92,29506238.39,47324653.32,107285442.02,205538797.9,259448002.72,260982236.41,470728013.03
