,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.98,0.77,0.89,0.64,0.81,0.67,0.98,0.92,1.63,0.82,1.0,0.92,0.89,0.99,0.7,1.04
f_1,1.22,2.06,0.75,0.71,0.67,0.56,0.9,0.91,0.93,0.79,0.67,0.86,0.93,0.97,0.62,0.89
c_1,0.76,0.76,2.19,0.69,1.25,0.69,0.9,0.91,0.88,0.6,0.95,0.78,0.85,1.01,1.02,0.89
d_1,0.74,0.82,0.57,2.43,0.64,0.72,0.92,1.05,0.54,1.79,1.05,1.21,1.25,1.11,1.22,1.03
b_1,0.66,0.71,0.81,0.8,2.35,1.5,0.86,0.77,0.98,0.9,0.93,0.68,0.71,0.95,0.98,1.04
a_1,0.67,0.82,0.87,0.79,0.77,3.65,1.17,0.9,0.87,0.95,1.04,1.02,0.67,0.91,1.1,0.96
h_1,0.81,1.16,0.78,0.88,0.69,0.76,2.0,1.28,0.97,0.91,0.96,1.04,0.93,0.78,1.03,1.28
g_1,0.75,0.74,0.8,1.4,0.7,0.74,0.97,2.33,0.74,1.11,1.55,1.21,1.11,1.09,1.1,0.85
d_0,0.73,0.9,1.61,0.53,0.81,0.67,1.02,0.96,1.56,0.68,1.05,0.91,1.07,0.96,1.01,1.02
c_0,0.83,0.93,0.63,1.0,0.64,0.7,1.11,1.18,0.9,1.93,1.11,2.22,1.46,1.13,1.05,1.23
f_0,0.76,0.72,0.9,0.92,0.79,0.83,1.11,1.11,1.16,1.0,2.05,1.32,1.36,1.11,2.33,1.0
b_0,0.85,0.95,0.85,1.04,0.5,0.53,1.16,1.27,0.83,1.29,1.09,2.24,2.38,1.05,0.94,1.08
a_0,0.83,0.94,0.84,0.91,0.74,0.62,1.13,1.18,0.93,1.23,1.36,1.19,2.43,1.24,1.49,1.04
h_0,0.76,1.15,0.91,0.93,0.73,0.6,0.8,1.31,1.04,1.07,0.84,1.06,1.19,0.85,1.03,1.35
e_0,0.46,0.96,0.86,0.99,0.87,0.81,1.3,1.1,0.92,1.24,1.06,1.18,0.99,1.15,2.56,1.08
g_0,0.71,0.83,0.89,1.41,0.79,0.67,0.99,0.81,0.87,0.99,1.57,1.05,1.04,1.05,1.2,0.8
