,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,103.67,59.42,106.7,74.46,167.4,353.52,12765.96,31627.28,25753.74,24556.96,32423.13,56296.22,135581.29,122567.06,136478.61,243145.5
f_1,90.91,110.48,77.73,80.26,140.61,315.61,10609.2,20059.59,21932.23,20759.73,30663.54,33822.38,107544.12,113127.89,126769.63,209016.29
c_1,47.65,62.6,128.77,87.11,241.82,324.44,11370.67,15990.01,17902.71,20543.55,20562.12,41315.96,124502.09,108588.75,150422.68,207660.43
d_1,56.12,65.85,59.48,136.75,137.72,331.56,10763.75,14870.33,33578.16,20699.18,34404.09,48078.74,115870.53,129779.0,149061.07,204522.71
b_1,40.1,55.48,51.3,61.34,228.87,471.43,8931.09,13137.04,18925.13,17298.57,15481.07,34347.74,89591.96,72712.02,130042.29,161658.39
a_1,35.34,45.59,50.19,50.44,77.44,445.22,7427.31,11527.1,15696.19,13703.69,19392.11,26284.21,73782.61,52689.83,86841.09,128568.52
h_1,13.14,19.83,17.53,20.96,33.72,76.82,3983.77,4189.25,5721.07,7111.04,6552.94,10437.6,22137.23,25052.64,39865.56,61702.55
d_0,10.76,13.35,25.31,14.73,34.47,71.12,2528.41,4958.6,4200.36,5008.47,6563.15,9834.31,26332.73,25010.38,34464.98,45912.44
c_0,12.71,13.6,13.99,16.14,22.81,67.81,2192.04,4147.63,6098.75,4378.72,8871.55,9178.23,22987.52,24663.29,31607.64,44714.48
g_1,9.66,10.54,14.45,21.57,28.52,63.94,2042.84,3278.95,4658.37,6976.4,5576.07,12880.19,20797.88,21516.8,32088.9,38603.33
b_0,11.64,11.11,17.57,15.3,24.76,54.06,2271.54,3604.93,3938.16,4347.32,7095.56,9048.85,22958.29,33832.01,25129.07,45658.22
f_0,7.72,9.14,12.93,12.63,26.92,62.99,2193.28,3269.11,3911.82,3509.38,4484.8,10192.86,19444.43,19102.92,37797.89,32140.95
h_0,6.86,9.39,9.66,10.8,19.2,39.42,1347.71,2342.67,3115.07,3307.86,3385.24,5412.88,12996.06,14256.01,18725.9,30986.04
a_0,6.79,7.3,9.55,9.94,19.89,33.72,1439.8,2503.89,2855.79,3121.56,2982.94,6725.25,14271.84,20110.41,16852.5,26017.58
e_0,4.98,7.64,8.69,9.65,17.12,40.37,1337.48,2023.44,2671.62,2582.23,3514.99,4666.28,13429.35,14985.84,23683.87,19705.14
g_0,5.35,5.71,7.99,11.44,15.33,35.0,1153.81,1581.08,2434.89,1912.4,2626.86,6445.71,11897.65,12063.98,17616.29,20505.09
