,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,17.21,0.7,0.36,0.66,0.46,0.52,0.93,1.86,0.8,0.79,1.04,0.91,0.8,1.06,0.62,1.09
f_1,1.07,17.0,0.48,0.55,0.44,0.54,0.65,0.89,0.82,0.86,0.88,0.29,0.86,0.76,0.73,0.76
d_1,0.45,0.62,19.73,0.37,0.67,0.53,0.9,0.35,0.9,2.23,1.11,0.97,1.18,0.93,1.17,0.94
c_1,0.45,0.43,0.62,19.57,0.94,0.44,0.87,0.84,0.87,0.33,0.7,1.17,1.12,0.92,0.96,0.82
b_1,0.48,0.43,0.65,0.54,22.61,1.11,0.77,0.78,0.79,0.79,0.31,0.88,0.79,0.74,0.93,1.03
a_1,0.47,0.51,0.66,0.56,0.55,32.0,0.85,1.04,1.0,0.81,1.07,0.95,1.03,0.45,0.8,0.94
h_1,0.71,1.16,0.79,0.57,0.49,0.61,5.74,1.06,1.32,0.99,1.28,1.26,0.62,1.3,1.03,1.58
d_0,0.78,0.67,0.24,1.71,0.57,0.69,1.15,2.95,0.99,0.81,1.14,1.11,1.19,0.84,1.02,1.28
g_1,0.53,0.53,1.05,0.7,0.84,0.63,1.09,1.06,6.94,0.93,1.05,2.17,1.19,1.26,1.02,0.55
c_0,0.73,0.81,0.82,0.39,0.53,0.59,1.26,1.05,1.12,3.75,2.64,1.4,1.24,1.37,1.26,1.29
b_0,0.72,0.87,0.71,0.77,0.29,0.59,1.19,1.21,1.14,1.13,3.41,1.25,1.56,2.83,1.21,1.45
f_0,0.58,0.31,0.97,0.72,0.72,0.54,1.67,0.95,1.11,1.11,1.75,4.17,1.27,1.53,3.09,1.37
h_0,0.47,1.11,0.69,0.66,0.79,0.66,0.65,1.08,1.52,1.31,1.45,1.39,0.72,1.14,1.22,1.71
a_0,0.6,0.8,1.01,0.66,0.47,0.4,1.53,1.11,1.43,1.22,1.33,1.26,1.68,5.37,1.52,1.26
e_0,0.27,0.9,0.7,0.79,0.63,0.8,1.97,1.2,1.18,1.12,1.32,1.06,1.71,1.5,5.06,1.49
g_0,0.52,0.47,1.38,0.85,0.65,0.71,1.32,0.95,0.39,1.16,1.39,2.51,1.08,1.04,1.19,0.81
