,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.54,1.01,0.93,1.2,0.98,0.87,1.12,1.85,1.18,1.12,1.12,1.14,1.33,0.95,1.19,0.78
f_1,1.44,1.56,0.99,0.96,0.91,0.72,1.06,1.29,1.12,1.16,1.15,0.89,1.15,0.87,1.2,0.86
d_1,1.13,1.11,1.56,0.95,0.9,0.83,1.14,0.92,1.76,0.95,1.35,1.12,1.22,1.07,1.11,0.94
c_1,0.94,1.04,1.03,1.59,1.44,0.87,1.11,1.07,0.95,0.98,0.94,1.02,1.32,0.91,1.27,1.1
b_1,0.99,1.0,1.14,0.92,1.62,1.46,1.25,1.12,1.19,1.09,1.01,1.15,1.22,0.98,1.21,1.07
a_1,1.01,1.22,1.08,1.16,0.94,1.76,1.57,1.4,1.33,1.23,1.46,1.3,1.46,1.15,1.34,1.17
h_1,1.24,1.54,1.39,1.24,1.09,0.84,1.89,1.47,1.48,1.63,1.38,1.27,1.25,1.22,1.7,1.22
d_0,1.12,1.26,1.2,1.83,1.39,0.98,1.43,1.8,1.11,1.47,1.34,1.35,1.64,1.12,1.54,1.37
c_0,1.34,1.34,1.28,1.18,1.14,1.03,1.62,1.63,1.81,1.54,2.25,1.51,1.5,1.77,1.52,1.36
g_1,1.32,1.33,1.59,1.25,1.15,0.96,1.4,1.5,1.51,1.94,1.46,1.83,1.25,1.25,1.37,1.4
b_0,1.47,1.41,1.28,1.37,1.12,0.95,1.54,1.52,1.37,1.54,1.88,1.51,1.8,2.19,1.54,1.35
f_0,1.24,1.47,1.41,1.44,1.36,1.1,1.87,1.55,1.63,1.34,1.53,1.9,1.62,1.6,1.58,2.21
h_0,1.41,1.75,1.46,1.26,1.35,0.98,1.47,1.64,1.6,1.91,1.45,1.56,1.53,1.33,1.9,1.28
a_0,1.52,1.55,1.44,1.42,1.32,0.97,1.66,1.52,1.47,1.69,1.42,1.42,1.73,1.98,1.76,1.34
g_0,1.35,1.34,1.9,1.33,1.38,0.95,1.43,1.5,1.74,1.38,1.6,1.99,1.67,1.48,1.41,1.36
e_0,1.36,1.56,1.6,1.34,1.32,1.15,1.87,1.3,1.75,1.65,1.63,1.36,1.82,1.46,1.85,1.94
