,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.87,1.22,1.57,1.66,3.55,18.51,29.25,37.73,33.36,50.44,56.99,76.83,120.68,115.0,133.45
f_1,1.14,1.0,1.11,1.31,1.41,2.89,15.28,27.3,26.94,31.37,47.16,46.8,55.53,103.58,104.3,99.49
d_1,0.82,0.92,1.0,0.96,1.27,2.73,14.32,20.27,22.91,36.13,44.14,43.17,60.68,73.67,97.8,98.72
c_1,0.64,0.76,1.05,1.0,1.51,2.69,12.46,22.53,16.81,24.09,30.53,35.86,58.88,82.04,77.75,85.62
b_1,0.59,0.7,0.79,0.68,1.0,2.9,11.43,17.73,17.24,24.84,30.03,31.16,49.25,72.99,61.0,84.45
a_1,0.28,0.34,0.35,0.36,0.35,1.0,5.42,8.66,8.6,9.31,14.46,13.16,22.47,36.11,32.6,35.27
h_1,0.05,0.07,0.07,0.08,0.09,0.18,1.0,1.8,1.52,1.83,2.76,3.04,4.03,7.39,6.68,7.11
g_1,0.03,0.04,0.05,0.05,0.06,0.12,0.56,1.0,0.88,1.25,1.82,2.11,2.39,4.01,4.42,4.9
d_0,0.03,0.04,0.05,0.06,0.06,0.12,0.65,1.09,1.0,1.07,1.85,1.8,2.76,4.23,3.88,4.88
c_0,0.03,0.03,0.03,0.04,0.04,0.1,0.55,0.79,0.93,1.0,2.08,1.42,2.19,3.38,3.63,3.71
b_0,0.02,0.02,0.02,0.03,0.03,0.07,0.36,0.57,0.55,0.52,1.0,0.99,1.55,2.31,3.01,2.53
f_0,0.02,0.02,0.02,0.03,0.03,0.08,0.32,0.47,0.57,0.69,1.04,1.0,1.51,2.08,2.44,3.28
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.25,0.43,0.36,0.46,0.62,0.66,1.0,1.64,1.41,1.64
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.25,0.24,0.29,0.41,0.5,0.63,1.0,1.04,1.06
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.22,0.26,0.29,0.34,0.4,0.7,0.97,1.0,1.05
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.2,0.22,0.27,0.4,0.32,0.61,0.87,0.96,1.0
