,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.78,1.12,1.0,0.83,0.84,0.48,0.43,0.59,0.41,0.38,0.4,0.35,0.33,0.29,0.32
f_1,1.28,1.0,1.06,0.92,0.85,0.67,0.37,0.46,0.43,0.46,0.42,0.35,0.32,0.3,0.28,0.33
c_1,0.9,0.94,1.0,1.02,1.32,0.77,0.58,0.48,0.33,0.38,0.34,0.43,0.35,0.35,0.33,0.36
d_1,0.99,1.09,0.97,1.0,0.99,0.77,0.54,0.41,0.59,0.48,0.57,0.41,0.33,0.32,0.36,0.23
b_1,1.21,1.18,0.76,1.01,1.0,1.3,0.54,0.47,0.42,0.46,0.54,0.37,0.33,0.44,0.37,0.43
a_1,1.2,1.48,1.3,1.3,0.77,1.0,0.87,0.68,0.59,0.62,0.51,0.55,0.59,0.52,0.45,0.42
h_1,2.09,2.68,1.73,1.8,1.87,1.12,1.0,1.05,0.88,0.82,0.84,0.71,0.7,0.74,0.76,0.86
g_1,2.4,2.16,2.03,2.44,2.01,1.43,0.94,1.0,0.94,0.95,0.83,1.09,0.7,0.62,0.81,0.8
d_0,1.71,2.26,3.13,1.76,2.44,1.7,1.1,1.06,1.0,1.1,0.77,0.94,0.81,0.91,0.84,0.74
b_0,2.44,2.28,2.57,2.02,2.12,1.66,1.18,1.06,0.89,1.0,0.77,0.97,1.16,0.86,0.75,0.67
c_0,2.64,2.4,2.93,1.77,1.77,2.03,1.19,1.12,1.28,1.33,1.0,0.98,0.86,0.92,0.88,0.76
f_0,2.42,2.86,2.27,2.35,2.63,2.02,1.36,0.92,1.1,1.03,1.01,0.99,0.97,0.95,1.18,0.61
a_0,2.91,2.98,2.67,2.94,3.36,1.85,1.38,1.43,1.32,0.91,1.08,1.01,1.0,1.18,0.86,0.94
h_0,3.01,3.4,2.87,3.07,2.25,1.99,1.34,1.6,1.07,1.15,1.12,1.12,0.89,1.0,0.74,1.02
e_0,3.48,3.67,3.07,2.58,2.76,2.17,1.28,1.19,1.26,1.41,1.19,0.9,1.23,1.33,1.0,1.06
g_0,3.28,2.83,2.83,3.9,2.6,2.32,1.17,1.29,1.4,1.51,1.3,1.56,1.06,0.97,0.96,1.0
