,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.45,15.75,31.7,34.65,35.3,46.1,10.14,6.01,11.16,7.27,6.41,9.08,3.4,8.23,6.29,
f_1,37.43,0.44,33.05,34.41,37.52,37.87,6.46,7.42,8.18,5.27,7.05,,3.67,7.16,5.81,5.84
d_1,50.55,28.96,0.43,33.0,29.19,37.31,9.07,,5.84,8.79,8.76,5.37,5.36,6.72,2.86,5.5
c_1,34.76,33.31,45.53,0.43,33.38,37.06,16.51,3.68,10.09,,5.88,5.98,4.54,11.68,4.22,5.24
b_1,30.77,36.56,32.55,21.01,0.41,28.26,10.9,7.55,10.06,9.01,,7.84,3.98,12.14,5.67,
a_1,42.4,61.85,50.58,35.11,22.67,0.33,10.1,8.17,,8.45,10.42,10.29,9.29,,6.82,8.19
h_1,14.91,22.38,15.21,17.15,15.15,19.31,0.37,4.46,5.75,3.63,2.83,3.26,,3.65,3.09,4.45
d_0,10.49,15.88,,15.22,21.31,13.24,3.83,0.5,3.37,2.2,3.87,2.86,2.17,2.71,1.79,3.07
g_1,23.73,29.15,21.51,17.69,21.91,,3.52,6.02,0.32,5.23,6.73,3.2,2.05,3.07,,5.0
c_0,13.03,17.11,8.72,,14.9,13.36,6.77,3.65,4.19,0.48,3.33,3.42,2.67,3.37,2.02,2.59
b_0,21.18,18.36,17.21,23.45,,18.81,5.75,2.72,5.24,2.0,0.44,5.01,1.79,3.56,2.21,2.22
f_0,21.88,,15.5,16.87,15.88,14.24,5.21,3.91,2.53,3.16,3.1,0.45,3.67,2.83,1.55,
h_0,11.8,12.91,12.91,13.12,13.56,12.6,,2.33,4.36,2.32,2.3,2.27,,2.08,1.61,2.8
a_0,15.36,28.69,26.11,25.76,31.21,,5.32,4.68,6.58,5.94,1.74,3.73,2.5,0.38,,
g_0,20.24,12.23,14.42,15.32,12.93,22.14,1.91,3.43,,2.76,4.11,2.4,1.75,,,
e_0,,37.05,23.28,21.69,,17.05,5.32,3.24,6.23,4.87,4.6,,2.37,,,0.35
