,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.28,0.96,0.84,0.7,0.61,0.38,0.45,0.4,0.35,0.37,0.3,0.3,0.32,0.31,0.24
e_1,0.78,1.0,1.14,0.92,1.02,0.7,0.51,0.45,0.65,0.43,0.4,0.46,0.41,0.35,0.34,0.4
c_1,1.04,0.89,1.0,1.06,1.2,0.68,0.55,0.46,0.32,0.34,0.34,0.38,0.36,0.29,0.32,0.31
d_1,1.2,1.08,0.95,1.0,0.87,0.8,0.48,0.37,0.41,0.54,0.39,0.41,0.35,0.37,0.28,0.31
b_1,1.44,0.99,0.83,1.15,1.0,1.14,0.62,0.56,0.53,0.55,0.47,0.44,0.48,0.34,0.41,0.3
a_1,1.63,1.43,1.49,1.23,0.88,1.0,0.7,0.68,0.71,0.56,0.52,0.58,0.63,0.48,0.46,0.37
h_1,2.55,2.03,1.87,2.02,1.58,1.4,1.0,1.04,0.84,0.87,0.86,0.68,0.79,0.65,0.77,0.59
g_1,2.27,2.2,2.14,2.7,1.86,1.55,0.95,1.0,0.93,0.88,0.86,1.0,0.72,0.78,0.65,0.79
d_0,2.36,1.57,3.12,2.39,2.06,1.31,1.23,1.08,1.0,0.72,0.91,0.92,0.93,0.9,0.77,0.76
c_0,2.76,2.41,3.03,1.85,1.7,1.7,1.12,1.2,1.35,1.0,1.36,0.92,1.07,1.13,0.84,0.85
b_0,2.69,2.54,3.1,2.52,2.22,1.82,1.22,1.18,1.04,0.7,1.0,0.89,0.96,1.13,0.71,0.74
f_0,3.14,2.29,2.64,2.46,2.22,1.7,1.35,1.0,1.17,1.1,1.09,1.0,1.11,0.89,0.69,1.18
h_0,3.46,2.49,2.69,2.83,2.15,1.66,1.27,1.39,1.06,0.94,1.01,0.85,1.0,0.91,0.93,0.77
a_0,3.02,2.82,3.31,2.91,3.23,2.42,1.43,1.31,1.1,0.88,0.88,1.16,1.01,1.0,0.9,0.99
g_0,3.29,3.13,2.93,3.58,2.43,2.06,1.3,1.49,1.23,1.11,1.28,1.48,1.04,1.07,1.0,1.01
e_0,4.48,2.33,3.38,2.99,3.35,2.73,1.69,1.22,1.4,1.18,1.38,0.88,1.24,0.9,0.97,1.0
