,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.45,1.5,2.12,1.48,1.71,1.59,3.3,5.37,3.5,3.35,3.7,4.22,4.75,3.88,3.52,4.72
f_1,2.32,2.48,1.67,1.57,1.47,1.51,2.82,3.82,3.31,2.93,3.68,2.96,4.11,3.57,3.13,4.31
c_1,1.42,1.66,2.56,1.68,2.56,1.74,3.38,3.17,2.88,3.2,2.58,3.52,4.67,3.62,3.87,4.58
d_1,1.7,1.74,1.37,2.59,1.56,1.74,3.21,3.11,5.07,3.04,4.59,3.81,4.43,4.49,4.01,4.55
b_1,1.5,1.87,1.46,1.63,2.85,2.84,3.38,3.12,3.68,3.24,2.83,3.41,4.46,3.2,4.24,4.2
a_1,1.7,1.99,1.79,1.64,1.4,3.23,3.48,3.67,3.93,3.33,4.01,3.46,4.86,2.99,3.65,4.54
h_1,1.63,2.12,1.62,1.86,1.59,1.66,4.44,3.43,3.55,4.38,3.8,3.77,3.86,3.77,4.37,5.42
d_0,1.45,1.7,2.51,1.5,2.02,1.71,3.39,4.33,3.13,3.32,3.81,3.79,5.0,3.99,4.47,4.59
c_0,1.84,1.83,1.71,1.8,1.43,1.78,3.32,4.11,4.55,3.14,5.69,3.74,4.71,4.36,4.3,4.89
g_1,1.52,1.47,1.68,2.3,1.72,1.71,2.91,3.58,3.92,4.94,3.82,5.25,4.49,3.98,4.67,4.41
b_0,1.81,1.66,2.11,1.73,1.58,1.5,3.5,3.99,3.33,3.45,4.69,4.24,4.93,5.97,3.82,5.45
f_0,1.47,1.65,1.8,1.73,2.02,1.93,3.81,3.86,3.69,3.22,3.63,4.92,5.01,4.0,6.38,4.54
h_0,1.66,2.05,1.71,1.88,1.71,1.58,3.25,3.53,3.73,3.73,3.59,3.48,4.37,3.96,3.99,5.19
a_0,1.67,1.73,1.83,1.76,1.89,1.48,3.45,4.07,3.76,3.9,3.34,4.53,4.81,5.37,3.91,4.81
e_0,1.49,1.87,1.77,1.91,1.73,1.71,3.35,3.57,3.63,3.64,4.05,3.45,4.79,4.53,5.45,4.17
g_0,1.52,1.52,1.66,2.25,1.85,1.7,3.38,3.12,3.72,2.97,3.44,5.01,4.6,3.93,4.66,4.58
