,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.22,0.03,0.02,0.03,0.03,0.02,0.07,0.1,0.04,0.08,0.05,0.05,0.08,0.07,0.05,
f_1,0.06,2.3,0.03,0.03,0.03,0.02,0.04,0.06,0.03,0.06,0.05,,0.08,0.03,0.08,0.03
d_1,0.03,0.03,2.33,0.02,0.03,0.02,0.07,,0.05,0.11,0.06,0.06,0.08,0.04,0.07,0.04
c_1,0.03,0.03,0.03,2.34,0.05,0.03,0.06,0.07,0.06,,0.04,0.06,0.08,0.04,0.07,0.05
b_1,0.03,0.03,0.03,0.03,2.46,0.04,0.07,0.05,0.05,0.07,,0.06,0.07,0.03,0.08,
a_1,0.02,0.03,0.03,0.03,0.04,3.0,0.05,0.08,,0.07,0.05,0.07,0.08,,0.05,0.06
h_1,0.1,0.15,0.11,0.06,0.09,0.1,2.73,0.26,0.28,0.15,0.17,0.19,,0.19,0.52,0.19
d_0,0.17,0.13,,0.27,0.13,0.12,0.22,1.99,0.17,0.27,0.37,0.26,0.43,0.21,0.29,0.31
g_1,0.09,0.12,0.17,0.1,0.1,,0.17,0.3,3.09,0.24,0.19,0.39,0.23,0.15,,0.16
c_0,0.14,0.19,0.11,,0.11,0.12,0.28,0.46,0.19,2.07,0.5,0.32,0.43,0.17,0.36,0.21
b_0,0.16,0.14,0.11,0.17,,0.1,0.35,0.26,0.15,0.3,2.25,0.32,0.43,0.57,0.24,0.22
f_0,0.11,,0.19,0.17,0.13,0.1,0.31,0.35,0.31,0.29,0.2,2.21,0.44,0.27,0.42,
h_0,0.29,0.27,0.19,0.22,0.25,0.11,,0.46,0.49,0.37,0.56,0.27,,0.4,0.57,0.42
a_0,0.12,0.14,0.15,0.09,0.08,,0.27,0.37,0.33,0.3,0.28,0.35,0.48,2.67,,
g_0,0.16,0.17,0.35,0.24,0.18,0.15,0.32,0.56,,0.49,0.45,0.64,0.62,,,
e_0,,0.17,0.18,0.19,,0.12,0.22,0.33,0.2,0.39,0.45,,0.36,,,2.84
