,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.36,0.99,1.19,1.17,3.07,16.03,32.47,34.14,33.92,36.84,,76.66,70.72,,123.29
e_1,0.74,1.0,0.87,1.13,1.65,2.85,20.83,24.53,28.49,38.17,29.51,52.48,86.67,76.47,,99.95
d_1,1.01,1.15,1.0,1.01,1.21,2.66,18.03,18.32,33.7,,33.93,54.83,66.41,73.82,84.76,83.21
c_1,0.84,0.89,0.99,1.0,1.65,3.08,19.36,18.6,,21.5,30.5,44.33,61.54,79.63,74.5,100.85
b_1,0.86,0.61,0.83,0.6,1.0,2.71,14.39,18.62,20.57,20.08,,48.23,63.25,70.49,103.87,81.96
a_1,0.33,0.35,0.38,0.33,0.37,1.0,8.32,10.79,7.96,11.03,11.4,17.18,,28.81,,37.98
h_1,0.06,0.05,0.06,0.05,0.07,0.12,1.0,1.84,1.66,1.0,1.92,2.73,3.12,,3.8,6.07
g_1,0.03,0.04,0.05,0.05,0.05,0.09,0.54,1.0,0.83,1.07,1.36,2.85,3.08,2.1,3.67,
c_0,0.03,0.04,0.03,,0.05,0.13,0.6,1.2,1.0,1.22,1.87,1.79,2.68,2.4,2.71,3.05
d_0,0.03,0.03,,0.05,0.05,0.09,1.0,0.93,0.82,1.0,1.44,1.65,2.27,2.38,2.44,4.34
b_0,0.03,0.03,0.03,0.03,,0.09,0.52,0.74,0.54,0.7,1.0,1.55,2.29,1.91,2.35,2.49
f_0,,0.02,0.02,0.02,0.02,0.06,0.37,0.35,0.56,0.61,0.64,1.0,1.47,1.74,2.85,1.45
a_0,0.01,0.01,0.02,0.02,0.02,,0.32,0.32,0.37,0.44,0.44,0.68,1.0,1.29,,1.59
h_0,0.01,0.01,0.01,0.01,0.01,0.03,,0.48,0.42,0.42,0.52,0.58,0.78,,1.38,1.84
e_0,,,0.01,0.01,0.01,,0.26,0.27,0.37,0.41,0.43,0.35,,0.73,1.0,1.15
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,,0.33,0.23,0.4,0.69,0.63,0.54,0.87,
