,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.08,0.87,0.89,0.89,0.94,0.67,0.51,0.66,0.88,0.65,0.62,0.64,0.66,0.46,0.53
f_1,0.93,1.0,1.34,1.06,0.89,0.76,0.58,0.73,0.62,0.62,0.56,0.61,0.48,0.51,0.67,0.39
e_1,1.15,0.75,1.0,1.0,0.95,0.9,0.77,0.66,0.89,0.73,0.71,0.66,0.56,0.55,0.5,0.47
c_1,1.13,0.95,1.0,1.0,1.3,0.88,0.8,0.7,0.54,0.5,0.51,0.74,0.74,0.5,0.58,0.63
b_1,1.12,1.12,1.05,0.77,1.0,1.27,0.69,0.69,0.68,0.64,0.72,0.7,0.6,0.78,0.67,0.61
a_1,1.07,1.32,1.12,1.13,0.79,1.0,1.0,1.15,0.82,0.75,0.87,0.76,0.68,0.74,0.76,0.73
h_1,1.51,1.72,1.26,1.24,1.44,1.05,1.0,1.31,0.84,0.8,0.83,0.76,0.97,0.89,0.94,0.78
g_1,1.99,1.34,1.51,1.45,1.4,0.89,0.75,1.0,1.0,1.0,0.96,1.09,0.82,0.93,0.51,0.87
d_0,1.39,1.62,1.12,1.96,1.42,1.2,1.16,1.03,1.0,0.83,1.07,0.81,0.99,0.7,0.85,0.98
c_0,1.06,1.73,1.45,2.15,1.58,1.37,1.28,0.98,1.2,1.0,1.35,0.94,1.06,0.94,0.8,0.99
b_0,1.52,1.9,1.38,1.91,1.38,1.09,1.2,1.05,0.96,0.72,1.0,0.86,1.0,1.16,0.88,0.68
f_0,1.61,1.68,1.56,1.4,1.43,1.28,1.3,0.91,1.15,1.11,1.14,1.0,0.89,1.04,0.78,1.59
h_0,1.57,2.18,1.67,1.38,1.62,1.46,1.08,1.2,1.02,0.98,0.98,1.04,1.0,0.91,1.12,0.7
a_0,1.45,2.01,1.8,1.81,1.29,,1.09,1.2,1.43,1.12,0.92,0.94,1.08,1.0,1.1,0.96
g_0,2.17,1.47,1.87,1.88,1.4,1.21,1.06,,1.09,1.23,1.1,1.32,0.9,0.99,1.0,1.07
e_0,1.9,2.5,2.16,1.75,1.72,1.26,1.26,1.13,0.97,0.99,1.61,0.66,1.42,1.04,1.01,1.0
