,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,3.79,0.47,0.41,0.38,0.34,0.48,0.65,0.67,1.39,0.73,0.74,0.62,0.83,0.7,0.22,1.07
f_1,0.71,4.13,0.46,0.33,0.37,0.31,0.57,0.67,0.87,0.83,0.87,0.12,0.57,0.93,0.62,0.59
c_1,0.33,0.38,4.29,0.38,0.69,0.35,0.75,0.75,0.83,0.62,0.13,1.08,0.85,0.89,0.74,0.91
d_1,0.33,0.36,0.32,4.39,0.42,0.38,0.9,0.89,0.26,1.08,1.58,0.88,0.57,0.69,1.01,0.64
b_1,0.37,0.43,0.41,0.35,4.81,0.76,0.8,0.57,0.68,0.17,0.9,0.7,0.71,1.03,0.73,1.05
a_1,0.4,0.44,0.39,0.39,0.35,6.24,1.03,0.77,0.82,0.72,0.68,0.77,0.32,0.95,0.68,0.84
h_1,0.62,0.95,0.5,0.82,0.7,0.5,5.11,1.75,1.16,1.38,1.18,1.27,1.43,0.57,2.1,1.89
g_1,0.59,0.62,0.67,1.17,0.63,0.54,1.16,6.33,0.99,1.33,1.21,2.38,0.77,1.42,1.4,0.6
d_0,0.68,0.72,1.39,0.2,0.77,0.6,1.02,1.15,3.9,1.67,1.12,1.45,1.45,1.74,1.75,1.36
b_0,0.8,0.68,0.74,0.89,0.2,0.48,1.41,1.34,1.11,4.06,1.85,1.87,3.74,1.81,1.75,1.8
c_0,0.8,0.73,0.28,0.78,0.51,0.73,1.59,1.25,1.49,3.15,3.91,1.59,2.06,1.88,1.84,1.5
f_0,0.6,0.25,0.85,0.74,0.91,0.52,1.32,1.46,1.58,1.55,1.27,5.16,1.78,1.68,3.42,1.7
a_0,0.66,0.69,0.82,0.87,0.81,0.21,1.12,1.03,1.62,1.5,1.41,1.41,5.73,2.1,1.51,1.92
h_0,0.72,1.06,0.75,0.77,0.66,0.54,0.47,1.62,1.13,1.27,1.07,1.21,1.59,0.38,1.15,1.58
e_0,0.32,0.85,0.77,0.81,0.64,0.61,1.42,1.27,1.45,1.8,1.42,2.17,2.03,2.21,6.18,1.8
g_0,0.77,0.54,0.63,1.24,0.49,0.64,1.06,0.55,0.97,1.82,1.32,2.41,1.73,1.49,1.55,0.81
