,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.71,1.32,0.77,0.85,0.68,0.62,0.93,0.87,0.99,0.8,0.96,0.64,0.9,0.92,0.75,0.89
e_1,0.82,1.76,0.73,1.04,0.76,0.74,0.9,0.94,1.56,0.84,1.05,0.99,1.05,0.97,0.76,0.99
d_1,0.83,0.71,2.01,0.65,0.74,0.71,1.07,1.1,0.65,1.66,1.14,1.08,1.02,1.12,1.05,1.21
c_1,0.82,0.7,0.83,1.96,1.43,0.81,0.85,0.91,0.86,0.65,0.62,0.94,0.89,0.95,0.9,0.85
b_1,0.79,0.75,0.78,0.78,2.12,1.6,0.97,0.91,0.91,0.89,0.71,0.94,0.93,0.79,1.0,0.82
a_1,0.96,0.78,0.88,0.89,0.76,2.83,1.06,0.94,1.02,0.99,1.05,1.08,1.07,0.69,1.11,0.8
h_1,1.18,0.88,0.96,0.74,0.8,0.8,1.77,1.14,0.85,0.99,0.98,1.0,0.87,0.9,1.01,1.38
g_1,0.87,0.73,1.28,0.8,0.87,0.73,1.03,2.08,0.71,1.11,1.23,1.6,1.17,1.1,1.16,0.93
d_0,0.9,0.86,0.65,1.42,0.87,0.75,0.94,1.01,1.37,0.62,0.97,0.98,1.16,1.04,1.09,1.02
c_0,0.93,0.91,0.96,0.7,0.67,0.72,1.1,1.03,1.07,1.61,1.89,1.12,1.14,1.29,1.22,1.28
b_0,0.95,0.79,0.93,0.88,0.77,0.69,1.08,0.98,0.91,1.15,1.72,1.03,1.23,2.02,1.26,1.18
f_0,0.88,0.74,0.98,0.87,0.73,0.95,1.17,1.07,0.96,1.22,1.27,2.0,1.19,1.16,2.31,1.31
h_0,1.11,0.91,0.97,0.92,0.77,0.63,0.82,1.24,0.99,1.02,1.02,1.1,0.8,1.09,1.24,1.41
a_0,0.96,0.85,0.81,0.91,0.89,0.68,1.11,0.96,1.02,0.99,1.12,1.13,1.14,1.86,1.21,1.3
e_0,1.1,0.75,0.97,0.86,0.67,0.84,1.2,1.14,1.0,1.16,1.15,1.13,1.19,1.27,2.12,1.12
g_0,0.68,0.75,1.3,0.88,0.83,0.88,0.96,1.01,0.78,1.16,1.15,1.64,1.13,0.97,1.31,0.99
