,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.53,1.49,0.93,1.05,0.85,0.68,1.04,1.03,1.0,1.23,1.11,0.81,1.1,0.98,0.76,1.08
e_1,0.95,1.54,0.92,1.26,0.95,0.84,1.11,1.11,1.04,1.78,1.25,1.17,1.34,1.06,0.86,1.16
d_1,1.1,0.98,1.57,0.86,0.95,0.79,1.25,1.09,1.72,1.01,1.26,1.15,1.28,1.2,1.02,1.17
c_1,1.06,0.9,1.08,1.59,1.53,0.88,1.13,1.08,0.95,1.0,0.83,1.09,1.17,1.04,0.94,1.01
b_1,1.12,1.02,1.0,0.88,1.62,1.55,1.23,1.07,1.21,1.21,0.98,1.12,1.27,0.92,1.11,1.0
a_1,1.36,1.1,1.16,1.14,0.85,1.77,1.36,1.18,1.35,1.43,1.41,1.24,1.55,0.93,1.17,1.02
h_1,1.65,1.33,1.29,1.12,1.14,0.98,1.88,1.45,1.39,1.37,1.34,1.28,1.41,1.16,1.14,1.7
g_1,1.37,1.16,1.63,1.21,1.26,0.98,1.43,1.95,1.57,1.2,1.66,1.87,1.64,1.4,1.3,1.3
c_0,1.49,1.41,1.2,1.18,1.03,0.98,1.57,1.35,1.88,1.81,2.24,1.4,1.71,1.57,1.38,1.59
d_0,1.37,1.19,1.09,1.91,1.27,1.0,1.44,1.5,1.02,1.81,1.42,1.35,1.73,1.33,1.29,1.44
b_0,1.48,1.21,1.29,1.45,1.22,0.95,1.58,1.29,1.42,1.45,1.91,1.33,1.83,2.2,1.43,1.52
f_0,1.54,1.2,1.39,1.33,1.12,1.2,1.71,1.31,1.74,1.55,1.73,1.97,1.77,1.49,2.25,1.53
h_0,1.74,1.41,1.42,1.45,1.19,0.9,1.39,1.64,1.56,1.57,1.46,1.46,1.47,1.42,1.45,1.83
a_0,1.54,1.36,1.24,1.41,1.4,1.05,1.71,1.39,1.47,1.65,1.4,1.51,1.78,1.9,1.41,1.77
e_0,1.87,1.34,1.47,1.4,1.11,1.14,1.83,1.63,1.72,1.66,1.62,1.35,1.82,1.66,1.94,1.51
g_0,1.27,1.32,1.8,1.48,1.38,1.31,1.48,1.53,1.76,1.43,1.71,2.05,1.74,1.35,1.58,1.51
