,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.06,0.88,0.6,0.92,0.68,0.63,0.95,1.65,0.95,0.84,1.01,0.97,0.86,0.96,0.71,0.98
f_1,1.25,2.06,0.66,0.75,0.63,0.71,0.78,0.93,0.88,0.89,0.92,0.59,0.95,0.82,0.7,0.84
d_1,0.67,0.8,2.28,0.6,0.79,0.76,0.97,0.56,1.05,1.77,1.1,1.08,1.12,1.12,1.12,0.98
c_1,0.69,0.66,0.81,2.26,1.29,0.64,0.92,0.85,0.9,0.56,0.76,0.98,1.06,0.93,1.06,0.88
b_1,0.69,0.69,0.81,0.83,2.52,1.37,0.86,0.83,0.81,0.91,0.63,0.87,0.87,0.71,0.97,1.02
a_1,0.71,0.8,0.94,0.73,0.73,3.45,1.08,1.01,0.95,0.93,1.11,1.04,1.03,0.69,0.91,1.05
h_1,0.85,1.2,0.91,0.74,0.64,0.72,2.09,0.99,1.24,0.9,1.13,0.98,0.92,1.2,0.92,1.35
d_0,0.89,0.88,0.56,1.47,0.75,0.71,1.09,1.54,0.94,0.72,1.0,1.05,1.0,0.85,0.96,1.04
g_1,0.72,0.76,1.29,0.79,0.85,0.7,1.07,0.92,2.46,0.95,0.92,1.68,1.07,1.2,1.14,0.85
c_0,0.84,0.99,0.98,0.59,0.62,0.73,1.19,0.99,0.97,1.89,1.96,1.21,1.07,1.31,1.33,1.15
b_0,0.85,1.01,0.86,0.92,0.5,0.66,1.11,1.04,1.11,0.99,1.74,1.08,1.22,2.31,1.11,1.12
f_0,0.72,0.73,1.05,0.81,0.78,0.75,1.3,1.01,1.08,1.0,1.28,2.06,1.09,1.35,2.29,1.26
h_0,0.7,1.08,0.94,0.8,0.82,0.75,0.84,0.92,1.39,1.09,1.21,1.19,0.84,1.12,1.19,1.41
a_0,0.77,0.93,0.96,0.82,0.69,0.66,1.24,1.0,1.37,1.15,1.18,1.09,1.28,2.51,1.33,1.22
e_0,0.56,1.0,0.92,0.94,0.86,0.76,1.34,1.01,1.01,1.0,1.19,1.2,1.42,1.24,2.42,1.28
g_0,0.7,0.63,1.27,0.92,0.79,0.81,1.18,0.87,0.77,0.99,1.25,1.73,1.15,1.01,1.29,1.04
