,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.29,1.08,0.51,0.62,0.46,0.33,1.0,0.85,0.96,1.0,1.07,0.48,1.28,0.9,0.7,1.02
e_1,0.64,2.29,0.53,0.6,0.51,0.38,1.25,0.9,2.1,1.19,1.21,1.2,1.64,1.0,0.54,1.34
d_1,0.57,0.54,2.4,0.46,0.5,0.44,1.01,1.11,0.59,2.2,1.32,1.2,1.61,1.1,1.15,1.48
c_1,0.68,0.6,0.5,2.44,0.99,0.33,0.82,0.84,1.03,0.4,0.65,1.01,1.36,0.91,0.82,1.07
b_1,0.58,0.48,0.55,0.55,2.65,0.98,1.31,0.84,1.27,1.03,0.52,1.09,1.08,0.72,0.83,1.21
a_1,0.71,0.55,0.56,0.64,0.39,3.14,1.18,0.94,1.22,1.08,1.12,1.05,1.27,0.54,1.05,1.1
h_1,1.11,0.62,0.75,0.55,0.55,0.47,2.98,1.75,1.52,1.28,1.45,1.25,1.2,1.04,1.14,2.04
g_1,0.66,0.59,1.12,0.68,0.54,0.46,1.12,3.32,1.12,1.41,1.48,1.88,1.84,1.17,1.14,1.11
d_0,0.75,0.62,0.35,1.42,0.68,0.45,1.18,1.2,2.64,1.0,1.4,1.24,1.75,1.2,1.37,1.72
c_0,0.72,0.62,0.88,0.44,0.48,0.42,1.4,1.62,1.52,2.88,3.25,1.44,2.43,1.68,1.25,1.95
b_0,0.8,0.73,0.85,0.67,0.28,0.34,1.39,1.38,1.46,1.43,3.02,1.43,2.07,2.76,1.37,1.67
f_0,0.51,0.52,0.89,0.78,0.56,0.54,1.41,1.13,1.84,1.51,1.55,3.09,2.01,1.45,2.47,1.97
h_0,1.01,0.72,0.87,0.7,0.51,0.44,0.75,1.51,1.49,1.27,1.47,1.15,1.12,1.34,1.05,2.01
a_0,0.81,0.71,0.87,0.77,0.6,0.28,1.32,1.35,1.51,1.35,1.45,1.6,2.2,3.03,1.47,1.99
e_0,0.89,0.48,0.73,0.78,0.58,0.47,1.21,1.3,1.57,1.77,1.62,1.36,2.3,1.54,3.42,1.93
g_0,0.58,0.62,1.2,0.74,0.55,0.53,1.05,0.91,1.36,1.36,1.37,2.4,1.57,1.32,1.43,0.99
