,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.12,0.97,0.85,0.89,0.74,0.44,0.38,0.61,0.46,0.43,0.4,0.33,0.33,0.34,0.28
f_1,0.91,1.0,1.28,0.96,0.8,0.81,0.44,0.47,0.39,0.4,0.44,0.29,0.31,0.33,0.29,0.32
e_1,1.03,0.78,1.0,1.14,0.93,0.69,0.55,0.48,0.45,0.42,0.59,0.45,0.39,0.38,0.38,0.34
c_1,1.19,1.05,0.87,1.0,1.41,0.72,0.5,0.52,0.39,0.36,0.31,0.42,0.37,0.36,0.32,0.33
b_1,1.12,1.25,1.07,0.7,1.0,1.48,0.59,0.51,0.54,0.46,0.42,0.4,0.41,0.38,0.36,0.34
a_1,1.35,1.25,1.44,1.38,0.68,1.0,0.77,0.64,0.57,0.71,0.66,0.49,0.6,0.59,0.54,0.42
h_1,2.21,2.31,1.84,1.96,1.63,1.37,1.0,1.08,0.85,0.81,0.69,0.77,0.62,0.68,0.67,0.75
g_1,2.64,2.23,2.07,1.9,1.89,1.55,0.9,1.0,0.99,0.83,0.8,1.05,0.71,0.74,0.69,0.64
c_0,1.67,2.66,2.27,2.45,1.76,1.79,1.17,0.94,1.0,1.41,1.03,0.98,0.88,0.93,0.79,0.74
b_0,2.1,2.52,2.35,2.87,2.08,1.42,1.22,1.2,0.74,1.0,1.05,0.92,0.91,0.97,0.79,0.72
d_0,2.25,2.18,1.69,3.35,2.58,1.59,1.42,1.23,0.91,0.93,1.0,0.96,0.88,0.83,0.9,0.8
f_0,2.49,3.05,2.26,2.56,2.37,2.01,1.3,0.97,1.05,1.08,1.02,1.0,0.97,0.78,1.37,0.67
h_0,2.86,3.27,2.48,2.91,2.36,1.67,1.6,1.45,1.09,1.12,1.12,1.07,1.0,0.88,0.96,1.05
a_0,3.04,2.93,2.58,2.95,2.63,1.81,1.48,1.4,1.12,1.01,1.13,1.33,1.12,1.0,0.89,1.1
e_0,2.81,3.56,2.74,3.14,2.74,2.0,1.38,1.36,1.29,1.29,1.07,0.76,1.07,1.15,1.0,0.96
g_0,3.55,3.22,2.94,3.24,2.94,2.38,1.31,1.58,1.39,1.39,1.2,1.51,0.97,0.92,1.06,1.0
