,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,3.8,0.43,0.46,0.3,0.34,0.34,0.67,1.51,0.83,0.76,0.86,0.8,0.84,0.95,1.03,0.23
f_1,0.7,3.99,0.38,0.38,0.36,0.43,0.73,0.67,0.52,0.88,0.15,0.73,0.75,0.67,0.68,0.67
c_1,0.4,0.37,4.28,0.39,0.73,0.34,0.67,0.79,0.62,0.15,0.89,0.66,0.99,0.7,0.92,0.76
d_1,0.34,0.46,0.31,4.38,0.35,0.34,0.77,0.23,0.8,1.52,0.8,0.93,1.01,0.66,1.1,0.8
b_1,0.38,0.34,0.36,0.36,4.8,0.89,0.74,0.61,0.83,0.64,0.92,0.21,1.06,0.66,0.71,0.77
a_1,0.35,0.36,0.43,0.49,0.43,6.52,0.72,0.68,0.77,0.84,0.96,0.87,0.83,0.16,0.78,1.04
h_1,0.5,0.88,0.72,0.83,0.63,0.57,4.94,1.44,1.71,1.32,1.47,1.41,0.48,1.37,1.75,1.63
d_0,0.73,0.69,1.49,0.23,0.66,0.54,1.41,3.7,0.95,1.15,1.36,1.29,1.36,1.63,1.25,1.71
g_1,0.61,0.62,0.79,1.07,0.59,0.8,1.19,1.19,6.14,0.97,1.97,1.2,1.35,1.4,0.41,1.1
c_0,0.74,0.74,0.33,0.93,0.68,0.49,1.56,1.42,1.31,4.13,1.59,2.97,1.54,1.47,1.6,1.43
f_0,0.64,0.44,0.83,0.85,0.56,0.56,1.63,1.51,1.67,1.41,4.21,1.84,1.78,1.9,1.65,3.41
b_0,0.68,0.89,0.73,0.67,0.25,0.39,1.76,1.73,1.38,1.69,1.5,5.07,1.77,3.38,1.59,1.69
h_0,0.53,1.13,0.6,0.74,0.7,0.56,0.59,1.33,1.58,1.49,1.24,1.53,0.59,1.67,1.95,1.22
a_0,0.77,0.89,0.7,0.76,0.56,0.26,1.52,1.8,1.05,1.32,1.74,1.84,1.74,6.58,1.51,1.96
g_0,0.68,0.57,0.56,1.09,0.78,0.47,1.12,1.3,0.68,1.44,2.17,1.57,1.28,1.67,0.63,2.16
e_0,0.29,0.75,0.76,0.85,0.8,0.41,1.77,1.67,1.53,2.02,1.6,1.55,1.75,2.05,1.77,6.91
