,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,2.41,1.08,1.41,0.98,1.06,1.07,2.29,4.01,2.41,2.43,2.79,2.49,3.15,2.83,3.25,1.88
f_1,1.67,2.48,1.11,1.03,1.09,1.14,1.91,2.09,1.72,2.39,1.27,2.18,2.47,2.07,2.71,1.98
c_1,1.02,1.08,2.57,1.21,1.79,1.06,1.94,2.01,1.98,1.22,2.53,1.99,3.41,2.39,3.26,2.49
d_1,1.09,1.34,0.94,2.6,1.07,0.96,2.25,1.81,2.13,3.91,2.52,2.96,3.39,2.31,3.18,2.49
b_1,1.11,1.05,0.93,1.13,2.72,2.06,2.22,2.08,2.41,2.21,2.84,1.72,3.18,2.3,2.55,2.36
a_1,1.05,1.13,1.21,1.44,0.99,3.16,2.14,2.4,2.3,2.46,2.97,3.03,3.06,1.62,3.13,3.7
h_1,1.08,1.58,1.36,1.34,1.14,1.19,3.91,2.42,3.04,2.44,2.58,2.48,2.19,2.83,3.84,2.78
d_0,1.1,1.27,2.26,0.73,1.34,1.01,2.45,3.75,2.22,2.0,2.54,2.46,3.48,2.91,3.27,3.04
g_1,1.12,1.24,1.33,1.69,1.08,1.15,2.31,2.55,4.39,2.44,3.56,2.39,3.11,2.96,2.27,2.33
c_0,1.36,1.32,1.03,1.2,1.16,1.05,2.81,3.08,2.68,4.04,3.03,4.54,3.34,3.22,3.64,2.99
f_0,1.15,1.21,1.39,1.37,1.29,1.03,2.83,2.71,2.37,2.66,4.13,2.99,3.63,2.96,3.31,5.39
b_0,1.31,1.48,1.29,1.14,0.97,0.83,2.84,3.21,2.6,2.42,2.78,4.48,3.47,5.06,3.22,3.06
h_0,1.17,1.72,1.07,1.32,1.24,1.14,2.21,2.46,2.98,2.87,2.41,2.78,2.6,2.86,4.36,2.75
a_0,1.35,1.41,1.43,1.22,1.25,0.82,2.55,2.86,2.0,2.44,2.79,2.63,3.3,5.05,3.53,3.07
g_0,1.22,1.16,1.12,1.75,1.35,1.06,2.4,2.61,1.96,2.91,3.89,2.88,2.93,2.86,3.06,3.18
e_0,0.91,1.34,1.41,1.41,1.42,0.88,2.75,2.64,2.88,3.03,2.13,2.83,3.75,3.16,3.52,5.14
