,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.35,1.04,0.99,0.85,0.96,0.96,0.81,0.94,1.1,1.08,,0.81,0.79,0.93,1.26
e_1,0.74,1.0,1.06,1.07,1.09,1.0,0.96,1.18,0.8,1.55,1.04,1.07,0.93,0.94,,0.78
d_1,0.96,0.95,1.0,0.82,1.06,0.87,1.02,0.95,1.33,,0.89,1.13,1.04,1.15,1.2,0.73
c_1,1.01,0.94,1.22,1.0,1.21,0.71,1.2,0.93,,0.73,1.14,1.04,0.95,0.9,1.06,1.08
b_1,1.17,0.92,0.94,0.83,1.0,1.56,1.12,1.07,1.11,0.98,,0.88,1.03,0.9,0.97,0.87
a_1,1.04,1.0,1.15,1.41,0.64,1.0,0.89,0.94,1.17,0.96,0.92,0.95,,,,
h_1,1.04,1.04,0.99,0.84,0.89,1.12,1.0,1.09,1.03,1.23,0.81,0.82,,0.89,1.03,1.36
g_1,1.24,0.85,1.05,1.07,0.93,1.07,0.92,1.0,0.79,0.82,1.0,1.4,1.08,1.0,0.8,
c_0,1.06,1.26,0.75,,0.9,0.85,0.97,1.27,1.0,1.04,1.38,0.87,0.91,0.89,0.79,1.11
d_0,0.91,0.65,,1.37,1.02,1.04,0.81,1.22,0.96,1.0,1.18,0.96,1.17,1.0,0.95,1.31
b_0,0.92,0.96,1.12,0.88,,1.09,1.24,1.0,0.72,0.85,1.0,0.83,1.12,1.63,0.97,1.29
f_0,,0.94,0.88,0.96,1.14,1.06,1.22,0.72,1.14,1.04,1.2,1.0,1.1,,0.9,0.92
h_0,1.24,1.08,0.96,1.05,0.97,,,0.93,1.1,0.85,0.89,0.91,,0.89,1.44,1.12
a_0,1.26,1.06,0.87,1.11,1.11,,1.12,1.0,1.12,1.0,0.61,,1.12,1.0,1.0,
e_0,1.07,,0.84,0.94,1.04,,0.97,1.24,1.26,1.05,1.03,1.11,0.7,1.0,1.0,
g_0,0.79,1.28,1.37,0.93,1.15,,0.74,,0.9,0.76,0.77,1.09,0.89,,,
