,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.66,0.93,1.68,1.58,1.37,1.39,0.66,0.65,0.66,0.5,0.48,0.59,0.52,0.41,0.59,0.4
f_1,1.46,0.65,1.51,1.42,1.31,1.17,0.47,0.66,0.52,0.57,0.52,0.77,0.48,0.32,0.41,0.48
c_1,1.26,1.32,0.64,1.58,1.75,1.34,0.79,0.67,0.34,0.49,0.69,0.53,0.48,0.41,0.48,0.46
d_1,1.46,1.63,1.49,0.64,1.51,1.27,0.64,0.47,1.1,0.52,0.57,0.51,0.46,0.39,0.49,0.27
b_1,1.76,1.69,0.95,1.46,0.63,1.83,0.66,0.7,0.51,0.95,0.7,0.48,0.49,0.51,0.56,0.58
a_1,1.54,2.11,1.86,1.77,0.95,0.59,1.07,0.94,0.72,0.79,0.61,0.76,1.22,0.61,0.66,0.53
h_1,2.33,2.84,2.01,1.88,2.07,1.43,0.57,1.02,0.83,0.76,0.78,0.73,0.79,0.91,0.8,0.81
g_1,2.66,2.4,2.19,2.2,2.43,1.91,0.83,0.55,0.93,0.87,0.77,0.93,0.85,0.51,0.85,1.04
d_0,1.55,2.34,2.83,2.56,2.79,2.2,1.07,1.18,0.63,1.02,0.75,0.94,0.85,0.82,0.91,0.74
b_0,2.43,2.41,2.87,1.87,3.87,2.14,1.1,1.06,0.81,0.6,0.56,0.87,0.96,0.72,0.74,0.57
c_0,2.65,2.48,4.48,1.54,2.23,2.49,1.1,1.15,1.23,0.95,0.62,0.92,0.83,0.8,0.88,0.7
f_0,2.56,4.7,2.1,2.34,2.81,2.66,1.27,0.78,0.96,0.83,0.9,0.57,0.91,0.79,0.92,0.48
a_0,2.89,2.96,2.62,2.82,3.74,3.09,1.29,1.51,1.13,0.62,0.87,0.9,0.58,0.89,0.77,0.77
h_0,2.86,3.01,2.82,3.07,2.38,2.35,1.53,1.43,0.92,0.96,0.96,1.02,0.81,1.14,0.74,0.87
e_0,4.25,3.56,2.97,2.44,3.05,2.72,1.05,1.08,1.05,1.13,0.95,0.61,1.09,1.08,0.59,0.86
g_0,2.99,2.94,2.78,3.38,2.69,2.66,0.96,1.63,1.26,1.14,1.07,1.2,0.93,0.75,0.89,0.96
