,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,103.25,74.17,84.56,156.59,162.23,458.61,13020.68,20746.22,32034.91,24326.5,38621.38,45754.13,159845.93,128291.29,133989.36,342439.84
f_1,92.19,114.66,91.13,119.17,132.39,408.93,11251.63,17259.54,21036.65,22309.74,35574.51,31389.18,130186.51,116047.35,98242.24,315286.38
d_1,67.55,77.13,135.85,98.88,129.56,426.87,10818.91,15468.51,17895.38,33005.34,41433.25,35362.47,137332.76,118441.26,121738.47,276012.45
c_1,50.17,66.27,79.35,165.44,183.75,395.17,11903.82,14292.81,14993.24,14891.37,24804.86,33811.94,122040.4,102867.58,114702.41,273754.54
b_1,52.26,69.63,77.31,86.13,187.8,594.37,10394.67,14856.83,16363.57,20636.3,25400.18,36739.3,114549.18,88225.74,122902.85,241731.45
a_1,37.98,46.31,54.63,73.7,60.73,485.66,7771.82,11912.79,12725.01,13573.22,23912.07,24311.42,86934.35,74149.39,77737.7,201114.87
h_1,15.07,22.02,24.28,26.17,33.01,87.17,3866.74,5352.18,4503.33,5580.05,8276.68,9020.91,30119.5,26297.78,29059.09,91444.04
g_1,12.48,15.23,26.18,22.92,29.17,77.46,2349.49,5303.5,3812.29,5129.29,7404.19,10633.94,27310.04,25642.94,30533.25,58540.5
d_0,11.49,15.4,15.9,38.33,32.63,95.01,2679.1,3910.18,5196.61,3802.79,7229.9,8431.36,30747.25,26105.73,26198.07,63654.95
c_0,13.26,16.92,18.17,23.32,23.85,86.92,2392.51,3717.84,4637.33,5938.58,11233.6,7842.4,31328.64,30195.71,25162.58,65671.79
b_0,11.9,13.93,16.5,23.4,22.82,63.32,2258.68,3495.9,3915.72,3938.94,7960.78,7209.39,29481.96,31144.83,22681.47,56155.01
f_0,10.21,12.23,17.79,22.01,22.83,76.63,2378.79,2848.08,3859.19,4158.76,6287.83,8313.43,26094.96,22813.06,36008.06,55333.28
h_0,8.07,10.9,11.9,13.53,16.65,47.49,1329.28,2516.39,2240.02,2814.65,3729.06,4623.6,15259.86,14096.76,13183.48,44294.83
a_0,7.91,9.77,11.92,13.13,16.68,44.98,1540.2,2163.14,2384.54,2731.75,4111.73,4234.66,19114.67,20062.61,15443.75,37022.58
e_0,6.62,10.47,12.43,12.36,14.88,52.84,1574.29,1993.61,2321.57,3032.35,4708.45,4331.9,17939.97,14223.96,21443.52,39303.49
g_0,5.35,6.56,11.31,10.57,12.74,36.97,990.86,1583.72,1693.83,2338.83,3338.89,4644.72,12623.16,11073.89,13245.14,26271.92
