,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.36,1.07,1.09,1.34,1.12,1.03,2.31,2.19,4.18,2.48,2.6,2.84,2.88,2.52,3.75,2.06
f_1,1.72,2.4,1.02,1.07,0.98,1.14,1.79,1.98,2.22,2.19,2.67,1.24,2.62,2.32,2.63,2.31
d_1,1.14,1.28,2.57,1.03,0.96,1.18,2.3,2.01,1.6,3.92,2.56,2.5,3.39,2.61,2.69,2.46
c_1,1.01,1.05,1.13,2.57,2.01,0.93,2.24,2.1,2.25,1.44,1.73,2.57,3.06,2.28,2.78,2.74
b_1,1.06,1.29,1.26,0.85,2.79,1.86,2.07,2.3,1.92,2.59,1.55,2.44,3.08,2.33,2.45,2.63
a_1,1.07,1.1,1.25,1.26,0.95,3.37,2.47,2.2,2.36,2.52,2.69,2.88,3.38,1.24,3.05,2.57
h_1,1.06,1.73,1.24,1.27,1.22,0.97,3.98,2.98,2.73,2.5,2.94,2.4,2.7,3.12,3.95,2.5
g_1,1.1,1.13,1.76,1.24,1.16,1.24,2.34,4.36,2.38,1.93,2.73,3.64,3.19,2.92,2.87,2.88
d_0,0.92,1.33,0.82,2.19,1.42,1.1,2.39,2.15,3.84,2.29,2.68,2.44,3.99,2.92,3.83,2.76
c_0,1.28,1.44,1.12,1.09,0.99,1.15,2.48,2.7,3.1,4.05,5.18,2.37,3.96,2.81,3.8,3.4
b_0,1.28,1.28,1.41,1.72,0.76,0.79,2.66,2.6,2.59,2.05,4.31,2.79,3.3,4.9,3.52,2.89
f_0,1.09,0.86,1.26,1.47,1.2,1.27,2.65,2.54,2.96,2.94,3.04,4.4,3.88,3.19,3.64,5.08
h_0,1.32,1.68,1.36,1.29,1.17,1.15,1.66,2.93,2.22,2.31,2.93,2.58,2.41,2.59,4.97,2.49
a_0,1.21,1.29,1.39,1.51,1.1,0.72,2.26,2.33,3.04,2.89,2.64,2.59,3.84,5.08,3.37,2.7
g_0,1.07,1.4,1.81,1.19,1.11,1.17,2.08,1.94,2.07,2.5,3.28,3.5,2.98,3.05,3.15,2.98
e_0,0.81,1.4,1.43,1.24,1.24,1.3,2.96,2.42,3.14,2.78,3.21,2.55,3.95,3.27,3.64,5.3
