,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.27,0.32,0.23,0.25,0.18,0.17,0.29,0.2,0.16,0.2,0.16,0.17,0.11,0.06,0.14
f_1,0.47,0.94,0.27,0.3,0.2,0.18,0.17,0.19,0.17,0.14,0.16,0.06,0.14,0.13,0.12,0.13
c_1,0.28,0.32,0.94,0.3,0.4,0.18,0.19,0.16,0.06,0.15,0.12,0.16,0.17,0.13,0.12,0.14
d_1,0.3,0.3,0.23,0.94,0.25,0.16,0.2,0.13,0.29,0.16,0.21,0.18,0.16,0.15,0.13,0.13
b_1,0.29,0.36,0.26,0.29,0.93,0.41,0.2,0.19,0.17,0.17,0.06,0.15,0.16,0.09,0.14,0.16
a_1,0.31,0.4,0.4,0.37,0.19,0.93,0.21,0.25,0.24,0.17,0.2,0.18,0.2,0.07,0.12,0.16
h_1,0.58,0.73,0.53,0.56,0.42,0.37,0.72,0.33,0.33,0.32,0.28,0.27,0.12,0.23,0.24,0.28
d_0,0.49,0.57,1.06,0.25,0.42,0.37,0.39,0.59,0.29,0.3,0.4,0.33,0.33,0.26,0.24,0.27
c_0,0.65,0.69,0.49,0.57,0.38,0.37,0.35,0.47,0.61,0.34,0.64,0.35,0.33,0.25,0.24,0.32
g_1,0.55,0.56,0.56,0.77,0.43,0.36,0.38,0.39,0.32,0.72,0.33,0.51,0.25,0.26,0.27,0.19
b_0,0.69,0.7,0.72,0.57,0.33,0.33,0.4,0.41,0.3,0.32,0.62,0.31,0.33,0.4,0.22,0.32
f_0,0.6,0.38,0.76,0.52,0.61,0.49,0.5,0.43,0.4,0.32,0.36,0.61,0.36,0.3,0.4,0.3
h_0,0.56,0.93,0.67,0.73,0.56,0.33,0.31,0.45,0.39,0.46,0.38,0.32,0.2,0.27,0.26,0.35
a_0,0.81,0.67,0.65,0.64,0.51,,0.51,0.48,0.45,0.39,0.35,0.41,0.44,0.6,0.27,0.33
e_0,0.54,0.77,0.66,0.7,0.54,0.45,0.44,0.55,0.45,0.48,0.48,0.36,0.38,0.4,0.59,0.3
g_0,0.66,0.64,0.69,1.06,0.53,0.38,0.4,0.39,0.31,0.22,0.36,0.45,0.39,0.26,0.3,0.22
