,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.15,100.69,95.74,94.18,89.97,82.68,21.44,,17.82,14.89,20.28,16.33,13.42,16.38,19.58,6.47
f_1,73.46,1.15,69.81,123.15,103.3,59.06,14.93,19.8,21.16,25.77,22.62,,10.3,19.65,16.17,12.69
e_1,88.15,52.6,1.15,94.18,84.52,103.35,28.83,18.24,15.74,41.88,28.0,20.73,12.31,19.65,,15.71
c_1,110.19,100.69,108.1,1.15,89.97,,22.59,11.36,,24.81,16.33,17.39,15.28,23.12,21.88,16.5
b_1,153.3,103.65,104.72,60.42,1.15,159.0,29.86,23.1,22.57,29.13,,20.73,17.72,28.07,19.58,15.71
a_1,160.27,135.54,223.4,,92.97,1.15,32.15,20.38,29.43,39.41,39.2,,20.14,,,18.33
h_1,78.36,71.92,104.72,88.94,71.51,147.64,2.0,21.66,17.82,29.13,18.38,24.5,,16.38,28.62,17.37
d_0,,90.36,50.01,82.1,75.38,93.95,21.44,2.97,19.34,27.92,21.0,17.97,11.97,23.12,15.5,15.0
c_0,58.77,88.1,104.72,,126.77,89.87,25.33,21.0,2.93,26.8,15.89,16.33,13.03,15.72,12.4,17.37
g_1,185.58,167.81,134.04,106.73,121.26,121.59,28.83,33.0,28.21,2.0,23.52,26.95,8.86,,24.8,
b_0,83.95,140.96,145.7,145.55,,108.79,38.0,16.5,11.1,29.13,2.94,20.73,14.29,18.71,,15.71
f_0,95.3,,152.32,106.73,103.3,,39.81,24.75,23.34,22.33,21.0,3.05,19.26,32.75,17.71,9.71
h_0,106.85,76.61,83.78,88.94,103.3,98.43,,17.32,22.57,20.3,15.89,15.85,,17.86,16.91,15.0
a_0,160.27,293.67,186.17,133.42,214.54,,44.0,33.0,28.21,,22.62,26.95,19.26,2.91,,20.62
e_0,160.27,271.08,,160.1,154.94,,49.18,43.31,39.82,47.86,,15.85,24.61,,3.05,16.5
g_0,135.62,121.52,139.62,100.06,214.54,129.19,36.35,23.9,30.77,,24.5,26.95,11.36,20.68,26.57,
