,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.01,0.79,0.96,0.68,0.68,0.65,0.86,1.61,0.96,0.89,1.08,1.1,0.95,1.11,0.64,0.88
f_1,1.31,2.05,0.75,0.76,0.61,0.56,0.83,1.0,0.86,0.99,0.99,0.61,0.88,0.9,0.62,0.92
c_1,0.63,0.76,2.18,0.7,1.41,0.69,0.86,0.89,0.83,0.41,0.61,0.93,0.93,0.85,0.95,0.97
d_1,0.75,0.82,0.55,2.32,0.68,0.7,1.0,0.61,1.15,1.76,1.25,1.05,1.02,1.16,1.05,0.99
b_1,0.62,0.76,0.74,0.74,2.52,1.6,0.98,0.81,0.88,0.89,0.57,0.89,1.11,0.73,1.06,1.01
a_1,0.72,0.9,0.86,0.75,0.68,3.48,1.1,0.88,0.75,0.86,1.06,0.99,1.04,0.59,1.17,0.97
h_1,0.71,1.16,0.9,0.9,0.8,0.68,2.17,0.9,1.25,0.8,1.01,0.94,0.92,1.02,1.27,1.4
d_0,0.78,0.8,1.52,0.46,0.91,0.77,1.16,1.69,0.94,0.69,0.93,1.02,1.02,0.89,1.06,0.93
g_1,0.81,0.67,0.73,1.5,0.68,0.57,1.13,0.77,2.54,1.12,1.12,1.55,0.89,1.02,1.23,0.88
c_0,0.99,0.87,0.66,0.96,0.52,0.72,1.12,1.01,1.17,1.74,1.9,1.08,1.13,1.3,1.12,1.18
b_0,0.83,0.81,0.97,1.02,0.6,0.54,1.04,1.02,1.04,1.11,1.87,1.06,1.13,2.16,1.32,1.21
f_0,0.7,0.68,0.96,0.89,0.83,0.83,1.27,1.05,1.19,1.2,1.22,2.09,1.13,1.2,2.31,1.19
h_0,0.76,1.13,0.82,1.06,0.62,0.66,0.9,0.88,1.36,1.12,1.07,1.14,0.88,1.08,1.2,1.55
a_0,0.91,0.82,0.85,0.97,0.85,0.44,1.06,1.1,1.05,1.15,0.99,1.15,1.05,2.18,1.21,1.15
e_0,0.63,0.96,0.99,0.85,0.78,0.81,1.33,0.93,1.12,1.05,1.04,1.23,1.37,1.04,2.38,1.27
g_0,0.67,0.87,0.75,1.34,0.76,0.76,0.93,0.82,0.87,1.1,1.11,1.65,1.41,1.1,1.32,0.98
