,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.42,1.17,0.67,1.49,1.33,1.09,0.36,0.38,0.25,0.28,0.34,0.26,0.21,0.27,0.37,0.21
d_1,1.4,0.41,1.19,1.3,1.31,1.03,0.31,0.2,0.22,0.46,0.24,0.2,0.17,0.23,0.22,0.11
f_1,1.13,1.18,0.42,1.15,1.25,1.11,0.25,0.38,0.23,0.24,0.33,0.22,0.13,0.21,0.23,0.22
c_1,0.96,1.65,1.31,0.4,1.2,1.07,0.34,0.48,0.45,0.14,0.27,0.27,0.17,0.24,0.25,0.15
b_1,1.35,1.43,1.56,0.7,0.39,1.25,0.41,0.43,0.36,0.27,0.26,0.42,0.2,0.29,0.28,0.19
a_1,1.61,1.61,1.91,1.56,0.76,0.33,0.49,0.45,0.4,0.44,0.36,0.58,0.22,0.61,0.3,0.23
h_1,2.0,1.95,2.07,2.16,2.0,2.29,0.31,0.53,0.41,0.45,0.42,0.43,0.44,0.37,0.36,0.32
g_1,2.54,2.18,2.37,2.71,2.28,2.08,0.52,0.28,0.44,0.56,0.4,0.5,0.25,0.45,0.43,0.44
c_0,2.64,1.33,2.48,4.17,3.55,2.62,0.67,0.57,0.32,0.88,0.46,0.51,0.41,0.52,0.47,0.37
d_0,1.45,4.6,2.45,2.71,2.5,2.33,0.75,0.84,0.56,0.31,0.57,0.61,0.39,0.49,0.55,0.46
f_0,2.53,2.34,3.97,2.52,2.97,2.44,0.7,0.47,0.51,0.61,0.3,0.48,0.41,0.49,0.49,0.25
b_0,2.54,2.2,2.78,4.59,4.58,2.47,0.69,0.63,0.29,0.59,0.5,0.3,0.39,0.5,0.49,0.33
h_0,2.94,2.93,3.5,2.8,2.78,2.82,1.08,0.97,0.72,0.72,0.57,0.53,0.58,0.52,0.5,0.44
a_0,3.85,2.46,2.89,3.6,4.03,3.73,0.97,0.92,0.53,0.67,0.64,0.3,0.48,0.28,0.61,0.5
e_0,4.37,2.77,4.49,3.12,2.76,2.53,0.85,0.81,0.66,0.67,0.31,0.67,0.46,0.64,0.28,0.41
g_0,3.6,2.92,3.67,2.94,3.13,3.5,0.7,1.06,0.67,0.73,0.64,0.64,0.35,0.51,0.57,0.64
