,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.42,0.64,0.38,0.33,0.25,0.23,0.22,0.24,0.24,0.2,0.12,0.21,0.16,0.14,0.17
d_1,0.48,0.94,0.43,0.37,0.33,0.26,0.28,0.23,0.41,0.16,0.31,0.21,0.25,0.21,0.19,0.17
e_1,0.46,0.37,0.94,0.45,0.36,0.26,0.29,0.27,0.28,0.43,0.28,0.24,0.28,0.19,0.15,0.27
c_1,0.47,0.43,0.38,0.94,0.63,0.29,0.25,0.24,0.16,0.23,0.21,0.25,0.26,0.18,0.19,0.25
b_1,0.49,0.51,0.44,0.34,0.94,0.51,0.34,0.23,0.29,0.32,0.12,0.26,0.26,0.22,0.19,0.23
a_1,0.55,0.58,0.5,0.48,0.31,0.93,0.33,0.35,0.3,0.27,0.32,0.3,0.36,0.17,0.22,0.23
h_1,0.94,0.72,0.59,0.73,0.46,0.37,0.75,0.5,0.37,0.36,0.32,0.33,0.32,0.26,0.29,0.4
g_1,0.69,1.01,0.6,0.72,0.58,0.38,0.45,0.75,0.38,0.34,0.35,0.48,0.37,0.36,0.29,0.25
c_0,0.9,0.69,0.66,0.58,0.49,0.49,0.49,0.46,0.66,0.42,0.68,0.38,0.47,0.38,0.32,0.37
d_0,0.83,0.51,0.62,1.17,0.56,0.46,0.49,0.43,0.31,0.65,0.39,0.42,0.42,0.29,0.3,0.35
b_0,0.91,0.69,0.75,0.75,0.56,0.44,0.57,0.5,0.4,0.44,0.64,0.38,0.47,0.56,0.33,0.36
f_0,0.66,0.94,0.65,0.8,0.61,0.47,0.6,0.43,0.5,0.38,0.48,0.64,0.55,0.39,0.58,0.35
h_0,1.11,0.86,0.69,0.71,0.69,0.45,0.39,0.58,0.43,0.45,0.47,0.38,0.38,0.33,0.35,0.48
a_0,0.99,0.77,0.83,0.79,0.67,0.29,0.64,0.43,0.51,0.5,0.38,0.46,0.56,0.63,0.41,0.43
e_0,1.03,0.91,0.49,0.86,0.77,0.48,0.61,0.51,0.53,0.48,0.51,0.41,0.49,0.32,0.63,0.4
g_0,0.91,1.36,0.6,0.7,0.65,0.53,0.55,0.36,0.58,0.42,0.47,0.63,0.46,0.39,0.39,0.32
