,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.23,0.91,0.92,0.77,0.6,0.41,0.46,0.44,0.37,0.37,0.37,0.29,0.31,0.26,0.3
e_1,0.82,1.0,0.92,1.11,0.9,0.69,0.48,0.47,0.58,0.39,0.47,0.41,0.34,0.37,0.36,0.31
d_1,1.08,1.09,1.0,0.86,0.84,0.63,0.48,0.39,0.47,0.52,0.39,0.41,0.34,0.33,0.35,0.26
c_1,1.06,0.92,1.16,1.0,1.29,0.81,0.51,0.47,0.33,0.38,0.43,0.33,0.35,0.34,0.35,0.29
b_1,1.3,1.09,1.18,0.8,1.0,1.24,0.59,0.56,0.46,0.5,0.42,0.46,0.44,0.33,0.4,0.32
a_1,1.65,1.47,1.58,1.25,0.81,1.0,0.71,0.73,0.53,0.64,0.58,0.69,0.53,0.44,0.44,0.42
h_1,2.45,2.07,2.13,1.94,1.67,1.37,1.0,1.05,0.89,0.73,0.71,0.72,0.66,0.57,0.6,0.71
g_1,2.23,2.16,2.52,2.18,1.74,1.38,0.99,1.0,0.87,0.93,0.99,0.82,0.61,0.76,0.7,0.64
d_0,2.16,1.79,2.17,3.01,2.24,1.96,1.17,1.12,1.0,0.77,0.94,0.82,0.75,0.77,0.71,0.75
c_0,2.7,2.49,2.02,2.66,1.93,1.6,1.32,1.1,1.28,1.0,0.88,1.27,0.87,0.9,0.84,0.7
f_0,2.63,2.15,2.57,2.25,2.33,1.76,1.42,1.0,1.06,1.08,1.0,0.92,0.86,0.83,1.15,0.67
b_0,2.83,2.34,2.38,3.01,2.31,1.51,1.38,1.16,1.15,0.78,1.05,1.0,0.93,1.28,0.88,0.8
h_0,3.31,2.93,2.97,2.85,2.34,1.8,1.5,1.62,1.27,1.13,1.15,1.13,1.0,1.05,0.86,0.94
a_0,3.09,2.77,3.06,3.12,3.02,2.21,1.7,1.25,1.25,1.15,1.24,0.86,0.95,1.0,1.02,0.9
e_0,3.72,2.88,3.03,2.86,2.48,2.26,1.71,1.32,1.38,1.15,0.88,1.17,1.18,1.01,1.0,0.76
g_0,3.39,3.16,3.82,3.21,3.1,2.3,1.45,1.55,1.34,1.42,1.54,1.29,1.07,1.09,1.26,1.0
