,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.74,0.9,1.02,1.05,0.77,0.86,0.66,0.88,0.53,0.71,0.56,0.6,0.52,0.57,
f_1,1.35,1.0,0.93,0.94,0.88,0.78,0.59,0.69,0.65,0.85,0.59,,0.47,0.54,0.49,0.55
d_1,1.12,1.07,1.0,0.82,0.97,1.01,0.68,0.49,,0.96,0.72,0.62,0.66,0.37,0.65,0.63
c_1,0.98,1.06,1.22,1.0,1.17,0.86,0.9,0.73,0.55,,0.45,0.55,0.7,0.59,0.52,0.43
b_1,0.96,1.13,1.03,0.85,1.0,1.03,0.67,0.79,0.61,0.91,,0.66,0.7,0.55,0.59,0.56
a_1,1.31,1.28,0.99,1.16,0.97,1.0,0.95,0.91,0.86,0.68,0.67,0.67,0.65,0.65,,
h_1,1.17,1.71,1.48,1.11,1.49,1.05,1.0,0.87,0.94,0.75,0.83,1.15,,1.03,0.88,0.82
g_1,1.52,1.44,2.04,1.37,1.27,1.1,1.15,1.0,1.04,0.75,0.79,1.1,0.82,,0.98,0.8
d_0,1.14,1.55,,1.82,1.64,1.17,1.06,0.96,1.0,0.9,0.92,1.09,0.9,0.97,0.86,0.74
c_0,1.9,1.18,1.04,,1.1,1.47,1.34,1.33,1.11,1.0,1.46,1.06,0.86,1.19,0.68,
b_0,1.41,1.69,1.39,2.22,,1.49,1.21,1.26,1.09,0.69,1.0,1.05,1.01,0.92,0.97,1.01
f_0,1.78,,1.62,1.8,1.51,1.49,0.87,0.91,0.92,0.94,0.95,1.0,1.08,0.78,1.09,
h_0,1.66,2.11,1.52,1.42,1.43,1.54,,1.22,1.11,1.17,0.99,0.93,,1.14,0.8,1.12
g_0,1.91,1.87,2.73,1.7,1.8,1.54,0.97,,1.03,0.84,1.08,1.28,0.88,,,0.86
a_0,1.75,2.03,1.54,1.91,1.7,,1.14,1.02,1.16,1.47,1.03,0.92,1.25,,1.0,
e_0,,1.82,1.59,2.32,1.79,,1.21,1.24,1.35,,0.99,,0.89,1.16,,1.0
