,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,5.97,2.29,2.99,1.68,2.17,2.06,7.75,18.09,8.47,10.36,11.59,10.32,16.63,11.85,15.74,9.09
f_1,3.68,6.25,2.11,1.95,1.89,2.11,7.5,9.26,7.13,9.94,6.6,10.08,14.16,10.39,15.06,8.3
c_1,2.0,2.1,6.72,2.07,4.06,2.16,7.13,9.54,7.11,4.87,10.53,7.64,16.51,10.2,16.23,10.44
d_1,2.07,2.61,1.65,6.88,2.12,2.24,8.75,5.83,8.59,18.49,11.61,12.34,17.6,10.9,19.6,11.8
b_1,1.93,2.11,2.14,2.29,7.51,4.82,8.38,9.08,8.57,8.98,11.45,6.98,15.85,9.54,12.73,11.05
a_1,2.1,2.0,2.26,2.86,2.43,10.16,8.25,9.74,9.12,10.17,11.95,10.68,15.2,6.47,14.68,13.47
h_1,2.19,3.2,2.54,2.68,2.37,2.15,17.06,9.03,12.15,10.72,11.58,9.8,13.73,12.25,20.43,12.58
d_0,2.25,2.34,4.74,1.73,2.41,2.07,8.84,16.8,8.77,6.59,11.24,9.66,16.99,13.5,16.04,14.03
g_1,2.14,2.33,2.56,3.81,2.26,2.2,9.44,10.23,21.26,10.59,17.98,10.54,15.26,10.92,13.13,13.46
c_0,2.72,2.87,1.74,2.84,1.74,1.95,10.41,12.21,9.86,19.63,13.72,22.66,17.84,15.43,18.99,13.77
f_0,2.12,2.17,2.91,2.63,2.51,1.9,10.11,11.24,9.66,11.26,20.06,12.84,21.05,12.83,19.34,25.96
b_0,2.5,2.99,2.66,2.34,1.72,1.57,10.22,13.54,9.2,12.18,11.96,23.66,18.21,28.08,16.58,14.26
h_0,2.36,3.24,2.22,2.88,2.54,2.29,6.99,10.22,11.65,11.87,11.03,11.86,12.83,12.59,22.31,13.19
a_0,2.53,2.68,2.91,2.26,2.34,1.71,10.79,13.06,9.59,10.56,13.29,12.96,18.13,28.35,16.73,15.52
g_0,2.19,2.18,2.12,3.8,2.53,2.09,9.75,9.89,8.14,13.55,19.22,12.85,16.53,11.46,15.39,16.21
e_0,1.85,2.83,2.8,3.14,2.5,1.71,9.98,10.75,10.2,11.38,11.03,10.97,20.04,14.74,18.91,30.15
