,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.68,1.1,0.81,0.97,0.81,1.11,1.29,1.38,1.27,1.0,0.94,0.83,1.11,,1.03
f_1,1.47,1.0,0.97,1.22,0.92,1.03,0.97,0.84,1.0,1.01,,0.91,0.94,0.72,0.74,1.13
d_1,0.91,1.03,1.0,0.93,1.05,1.28,1.22,0.97,1.21,,0.86,0.88,0.89,0.9,1.33,0.77
c_1,1.23,0.82,1.07,1.0,1.48,1.06,1.17,0.8,,0.69,1.06,0.98,1.0,1.02,0.97,0.92
b_1,1.03,1.09,0.95,0.68,1.0,1.24,1.19,0.88,1.09,0.98,1.25,,1.0,1.08,0.74,1.03
a_1,1.23,0.97,0.78,0.94,0.81,1.0,1.02,0.94,1.0,,0.97,0.87,,1.09,,0.9
h_1,0.9,1.04,0.82,0.86,0.84,0.98,1.0,1.34,0.94,1.07,1.02,1.03,1.02,,0.98,1.47
g_1,0.77,1.19,1.03,1.26,1.13,1.06,0.75,1.0,0.92,0.8,1.23,1.06,1.12,0.85,,
c_0,0.72,1.0,0.83,,0.92,1.0,1.06,1.09,1.0,0.99,0.89,1.55,1.15,0.95,1.12,1.09
d_0,0.79,0.99,,1.44,1.02,,0.93,1.25,1.01,1.0,0.81,0.92,1.05,1.2,0.88,1.05
f_0,1.0,,1.16,0.94,0.8,1.03,0.98,0.81,1.13,1.23,1.0,0.8,0.8,1.0,1.48,0.93
b_0,1.06,1.1,1.14,1.02,,1.15,0.97,0.95,0.64,1.09,1.25,1.0,1.44,0.92,0.72,1.05
a_0,1.2,1.07,1.12,1.0,1.0,,0.98,0.89,0.87,0.95,1.25,0.7,1.0,1.2,,0.87
h_0,0.9,1.39,1.11,0.98,0.93,0.92,,1.17,1.05,0.84,1.0,1.09,0.83,,0.75,0.93
e_0,,1.36,0.75,1.03,1.35,,1.02,,0.89,1.14,0.68,1.39,,1.34,1.0,1.0
g_0,0.97,0.88,1.3,1.09,0.97,1.11,0.68,,0.92,0.95,1.07,0.95,1.14,1.08,1.0,
