,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.06,1.37,1.84,2.13,2.23,1.62,0.73,0.76,0.79,0.57,0.62,0.76,0.48,0.45,0.86,0.46
f_1,2.22,1.06,2.03,2.08,1.8,1.52,0.58,0.62,0.85,0.56,0.49,0.76,0.61,0.36,0.48,0.47
d_1,2.65,2.22,1.05,2.1,1.79,2.02,0.86,0.95,0.57,0.7,0.7,0.51,0.6,0.47,0.51,0.34
c_1,1.97,2.41,2.73,1.06,2.37,1.69,0.94,0.42,0.74,0.75,0.58,0.56,0.55,0.53,0.55,0.5
b_1,2.42,3.01,2.83,1.58,1.06,2.54,0.99,0.79,0.96,0.97,1.01,0.73,0.66,0.61,0.66,0.46
a_1,3.57,4.14,3.5,3.33,1.95,1.07,1.48,1.01,1.4,1.13,1.19,0.95,1.24,0.86,0.74,0.89
h_1,5.55,6.15,5.08,5.17,5.48,3.99,1.31,1.63,1.79,1.47,1.34,1.27,1.31,1.57,1.2,1.22
d_0,4.1,7.02,9.01,8.48,6.67,6.78,2.75,1.5,2.58,1.68,1.82,1.69,1.96,1.64,1.85,1.58
g_1,5.98,6.15,6.89,7.54,6.72,5.63,2.46,1.85,1.33,1.97,1.62,2.07,2.02,1.15,1.68,1.85
c_0,7.49,7.24,4.41,11.62,6.55,5.59,3.09,2.81,2.27,1.49,2.5,1.91,2.17,1.5,1.64,1.77
b_0,6.78,8.63,6.57,9.83,11.27,5.58,3.17,2.15,2.63,1.3,1.53,1.96,2.83,1.87,1.74,1.57
f_0,6.81,16.1,8.02,8.31,7.95,6.24,3.53,2.41,2.09,2.31,2.27,1.55,2.15,1.82,2.51,1.25
a_0,10.8,8.76,7.95,9.8,11.51,11.79,3.7,2.86,2.95,2.34,1.49,2.43,1.53,2.14,2.36,1.93
h_0,9.72,10.31,9.19,9.3,8.89,7.48,4.31,2.82,3.33,2.62,2.67,2.51,2.5,2.55,2.0,2.16
e_0,12.71,14.02,8.39,11.65,8.65,8.47,4.03,3.38,3.3,3.14,3.27,1.58,2.53,2.52,1.62,2.07
g_0,10.15,13.06,10.92,9.55,12.31,9.48,3.44,3.7,4.15,3.06,3.13,2.99,3.16,1.92,2.71,2.88
