,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.41,1.02,0.94,0.78,0.83,0.85,0.47,0.82,0.44,0.33,0.42,0.34,0.33,0.38,0.38,0.22
f_1,0.74,0.41,0.96,1.0,0.87,0.69,0.37,0.43,0.41,0.51,0.39,0.62,0.28,0.36,0.33,0.36
e_1,0.94,0.56,0.4,0.98,0.98,0.92,0.53,0.52,0.4,0.63,0.46,0.46,0.4,0.43,0.5,0.44
c_1,1.15,0.81,0.78,0.39,0.96,0.77,0.46,0.24,0.49,0.48,0.34,0.36,0.34,0.4,0.43,0.38
b_1,0.95,1.03,0.86,0.55,0.36,1.39,0.5,0.43,0.42,0.44,0.7,0.37,0.34,0.43,0.38,0.32
a_1,0.85,1.03,0.93,1.25,0.49,0.31,0.46,0.35,0.39,0.51,0.46,0.54,0.32,0.66,0.46,0.38
h_1,0.72,0.83,0.83,0.78,0.76,0.74,0.25,0.36,0.32,0.48,0.32,0.36,0.41,0.31,0.35,0.36
d_0,1.07,0.74,0.45,0.98,0.76,0.84,0.5,0.26,0.36,0.48,0.44,0.44,0.34,0.37,0.37,0.39
c_0,0.5,0.83,0.85,1.25,0.92,0.82,0.44,0.44,0.26,0.48,0.4,0.32,0.29,0.37,0.3,0.34
g_1,0.87,0.81,0.72,0.86,0.82,0.73,0.36,0.37,0.35,0.23,0.33,0.39,0.22,0.34,0.35,0.36
b_0,0.64,0.84,0.78,1.05,1.02,0.72,0.47,0.32,0.22,0.43,0.24,0.34,0.29,0.38,0.42,0.28
f_0,0.77,1.07,0.78,0.79,0.85,0.68,0.42,0.39,0.32,0.29,0.34,0.23,0.31,0.39,0.4,0.22
h_0,0.8,0.82,0.7,0.79,0.86,0.68,0.54,0.34,0.35,0.45,0.32,0.33,0.4,0.32,0.3,0.33
a_0,0.67,0.84,0.76,0.76,1.13,1.06,0.46,0.32,0.29,0.52,0.22,0.32,0.29,0.2,0.33,0.32
e_0,0.72,1.1,1.07,0.72,0.78,0.79,0.36,0.4,0.37,0.37,0.34,0.19,0.31,0.33,0.2,0.28
g_0,0.87,0.86,0.65,0.77,0.95,0.75,0.35,0.3,0.35,0.47,0.33,0.41,0.22,0.35,0.3,0.32
