,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.65,1.33,1.23,1.33,1.26,1.14,0.44,0.43,0.69,0.48,0.42,0.55,0.28,0.39,0.45,0.46
e_1,0.88,0.65,1.35,1.62,1.36,1.26,0.62,0.5,0.6,0.55,0.5,0.63,0.42,0.46,0.72,0.41
d_1,1.52,1.45,0.65,1.24,1.15,1.22,0.58,0.54,0.39,0.71,0.52,0.47,0.38,0.45,0.49,0.28
c_1,1.48,1.05,1.84,0.63,1.95,1.09,0.59,0.58,0.62,0.29,0.43,0.43,0.39,0.43,0.39,0.38
b_1,1.47,1.54,1.44,0.76,0.63,1.78,0.8,0.61,0.61,0.58,0.75,0.48,0.47,0.46,0.45,0.45
a_1,1.73,1.64,1.5,2.06,0.89,0.58,0.73,0.58,0.77,0.74,0.78,0.67,0.62,1.1,0.55,0.49
h_1,2.13,1.87,1.99,2.14,1.72,1.47,0.58,0.73,1.02,0.67,0.69,0.67,0.73,0.65,0.67,0.6
c_0,2.42,2.34,1.35,4.66,2.16,1.93,0.99,0.6,0.93,0.98,0.92,0.71,0.67,0.85,0.66,0.62
g_1,2.06,2.31,2.27,2.18,2.19,2.12,0.8,0.74,0.54,0.83,0.75,0.81,0.51,0.66,0.59,0.62
d_0,2.07,1.47,2.58,2.91,2.19,1.69,1.16,0.83,1.15,0.62,0.84,0.74,0.69,0.8,0.77,0.6
b_0,2.54,2.29,1.88,2.8,3.37,1.98,1.03,0.53,1.13,0.84,0.58,0.76,0.75,0.92,0.72,0.54
f_0,3.58,2.2,2.16,2.45,2.24,2.07,1.29,0.82,0.7,0.99,0.84,0.58,0.77,0.83,0.98,0.46
h_0,2.68,2.44,2.38,2.51,2.41,2.0,1.44,0.85,1.22,0.87,0.84,0.81,0.96,0.74,0.85,0.85
a_0,3.19,2.66,2.22,2.63,3.27,2.92,1.07,0.83,1.32,0.98,0.58,0.8,0.89,0.57,0.83,0.81
e_0,3.13,3.15,2.41,2.69,2.68,2.69,1.37,0.96,1.51,1.01,0.97,0.52,0.78,0.81,0.56,0.69
g_0,2.67,2.56,3.02,2.72,2.65,2.21,1.0,1.02,1.47,1.13,1.1,1.15,0.71,0.94,0.91,0.99
