,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,15.55,0.58,0.4,0.69,0.42,0.6,0.8,2.34,0.89,0.9,1.28,1.04,1.12,1.25,1.0,0.54
f_1,1.09,15.85,0.47,0.52,0.5,0.43,0.96,0.73,0.81,0.99,0.73,0.26,0.81,0.88,0.75,0.53
d_1,0.51,0.62,19.22,0.36,0.52,0.54,0.91,0.33,0.82,2.01,1.04,1.03,1.02,0.97,1.08,1.16
c_1,0.44,0.53,0.56,19.89,1.18,0.44,0.76,0.78,0.91,0.25,0.76,0.81,0.76,0.74,0.62,0.94
b_1,0.44,0.45,0.63,0.48,26.75,1.29,0.88,0.65,0.86,0.6,0.27,1.09,0.77,0.96,0.8,1.23
a_1,0.48,0.55,0.59,0.57,0.43,33.76,0.92,0.87,0.81,1.08,0.95,1.06,0.3,1.18,1.6,0.95
h_1,0.62,1.01,0.77,0.63,0.71,0.62,5.22,0.91,1.34,1.07,1.04,1.19,1.07,0.63,1.42,1.27
d_0,0.51,0.71,0.3,1.74,0.78,0.66,0.99,2.96,1.16,0.78,1.13,1.15,1.19,1.17,1.02,1.14
g_1,0.55,0.39,1.41,0.7,0.59,0.61,1.12,0.79,7.3,1.18,1.3,2.24,1.11,0.89,0.72,1.43
c_0,0.86,0.69,0.74,0.39,0.55,0.69,1.05,1.38,0.91,3.31,2.78,1.27,1.1,1.3,1.73,1.1
b_0,0.61,0.9,0.77,0.88,0.26,0.47,1.15,1.16,1.07,1.11,4.06,1.34,3.02,1.08,1.48,1.3
f_0,0.53,0.31,0.97,0.87,0.69,0.66,1.22,1.26,1.25,1.07,1.24,4.66,1.56,1.26,1.47,3.16
a_0,0.56,0.71,0.96,1.02,0.73,0.24,1.27,1.45,0.95,1.03,1.19,1.26,5.21,1.4,1.27,1.3
h_0,0.66,1.14,0.78,0.67,0.49,0.79,0.63,1.24,1.59,0.93,1.14,1.12,1.15,0.59,1.75,1.09
g_0,0.57,0.61,1.33,0.75,0.61,0.51,1.3,1.04,0.51,0.97,1.5,2.23,1.41,1.38,0.75,1.06
e_0,0.22,1.03,0.83,0.83,0.76,0.66,1.24,1.08,1.33,1.08,1.1,1.22,1.28,1.41,1.23,4.88
